,Close,High,Low,Open,Volume
2001-01-02,1136.9151611328125,1153.785515136719,1125.1792626953127,1153.785515136719,253565
2001-01-03,1125.912841796875,1148.6511467452158,1115.643929884721,1136.9152474170398,442280
2001-01-04,1044.494873046875,1126.6461551966293,1032.75897559691,1125.9126616060064,619260
2001-01-05,1031.2919921875,1066.4996846661627,1024.6905498477506,1059.1647487331081,305160
2001-01-08,1037.893310546875,1054.0301676719855,1027.6244014672593,1037.1598170411883,256865
2001-01-09,1021.0227661132812,1043.7610604735628,1021.0227661132814,1035.6926334424952,241520
2001-01-10,1015.1549682617188,1035.6927855386898,1010.0205139424759,1016.6219552100738,352940
2001-01-11,989.4829711914062,1029.8251234638506,977.7470723485135,1026.8911487531275,373970
2001-01-12,964.5439453125,991.6832046102662,948.4070884327472,989.4827241266636,459985
2001-01-16,995.3505859375,996.8175727996039,962.3433815401621,965.2773552643699,332605
2001-01-17,997.5514526367188,1012.9548206553741,993.8839840608485,1003.4194023581113,350795
2001-01-18,1015.1549682617188,1016.6219552100738,992.4166705622149,997.5511248814577,276080
2001-01-19,987.2823486328125,1016.6220915342335,981.4144000525284,1009.2871558088782,408685
2001-01-22,993.1503295898438,1006.3532143258977,979.9474448537896,987.2823808182641,261475
2001-01-23,1009.287353515625,1013.6883158129315,976.2801362858262,1003.419403785883,309505
2001-01-24,1031.2919921875,1032.0254857808054,1006.3532100151137,1012.2211587615575,321900
2001-01-25,1040.0941162109375,1048.1625472957896,1029.0917101861392,1036.4266475360048,222530
2001-01-26,1029.8250732421875,1051.829882499499,1023.9571241069043,1051.829882499499,151670
2001-01-29,1025.4827880859375,1050.245576693393,1022.4314831533786,1041.5609832234343,156695
2001-01-30,1024.5440673828125,1026.187122030715,1003.4194474367752,1022.5489500618593,266585
2001-01-31,997.7857055664062,1021.0227609728495,982.8811061089212,1015.1548140707067,320970
2001-02-01,1003.8887329101562,1019.7321950418886,997.551319405369,1002.8324734492797,217350
2001-02-02,1013.864013671875,1015.7417282493642,991.6831431204076,1003.8885027647466,203025
2001-02-05,1034.9888916015625,1040.974171035466,1021.3752067023245,1032.1722473795855,167885
2001-02-06,1015.7420043945312,1038.5096758949849,1011.6344399631264,1037.9228809762128,179140
2001-02-07,1019.8493041992188,1030.2942796952345,1015.2722763683307,1018.6757146661931,160610
2001-02-08,1005.7664794921875,1027.4778912431857,988.7494270387025,1019.849557384727,253210
2001-02-09,1017.2673950195312,1018.0889220204047,994.6171313110004,1005.7662318979675,193035
2001-02-12,1050.36279296875,1050.36279296875,1028.6513832816865,1029.8249729945007,268320
2001-02-13,1044.2603759765625,1050.4803886999662,1038.1576936019922,1050.363058351133,277010
2001-02-14,1009.5219116210938,1045.5511310703187,1009.404509668611,1044.26013937441,220390
2001-02-15,1016.5639038085938,1017.502761696332,1005.2973942649388,1009.5223622051589,205305
2001-02-16,1016.5639038085938,1023.2533826579098,1011.0480152265167,1018.676351963571,189265
2001-02-20,992.8570556640625,1017.5024435706173,988.162696062814,1016.5635859764161,169310
2001-02-21,954.1285400390625,1003.4193133252134,952.3681552788429,992.8570047638954,291880
2001-02-22,962.9302368164062,974.0793376692471,934.4120247504476,974.0793376692471,298490
2001-02-23,948.8472290039062,967.0378685209879,935.7030106397114,963.0476350716016,191660
2001-02-26,956.4760131835938,959.409988684157,943.5665209811159,945.9137013815664,179465
2001-02-27,993.0916137695312,994.3825337813339,956.4756009766489,956.4756009766489,250735
2001-02-28,960.4159545898438,1002.6836494128687,956.4239769697208,1002.6836494128687,270480
2001-03-01,964.5256958007812,973.6836856404049,947.5012008657706,960.4163349543994,298005
2001-03-02,965.6998901367188,977.0887056049921,952.197703222953,962.7646321119871,233250
2001-03-05,963.3515014648438,981.0804279155388,951.7278532213023,980.375994787501,173220
2001-03-06,950.78857421875,976.2666230923782,947.5011002231499,974.5054686309968,164365
2001-03-07,963.7037963867188,967.9306104833028,955.719909753036,959.8292705443574,186485
2001-03-08,983.6632690429688,992.1168231703385,962.7642544374884,968.6347681840584,171580
2001-03-09,959.4771118164062,984.4854946652123,954.89808085101,982.7243399341476,149650
2001-03-12,916.9744873046875,962.1774549887214,904.9986217937476,953.9587335916243,272015
2001-03-13,925.0760498046875,936.3474131986217,910.0474697306676,927.4242564835555,263275
2001-03-14,888.796142578125,915.2134651778711,869.8931092936028,905.2335877513003,416280
2001-03-15,924.6065673828125,938.930645362205,894.0798743644593,894.6669261532738,347130
2001-03-16,915.800537109375,939.8696537898137,915.2134854830229,924.6063115046575,446350
2001-03-19,904.0593872070312,918.1486244102578,895.2536139550148,915.80041820972,296155
2001-03-20,904.646240234375,935.0555325227075,903.4721373917606,915.8002172392115,297655
2001-03-21,886.33056640625,906.4077031878802,882.9256383384532,898.7760321118163,320555
2001-03-22,881.9866943359375,882.9259629429182,852.8689375499274,881.1648074317288,407990
2001-03-23,885.8610229492188,897.9542737413245,869.0713585165605,874.7070405529065,239600
2001-03-26,911.9261474609375,911.9261474609375,889.383347296163,889.383347296163,187260
2001-03-27,930.124755859375,930.5943542365846,902.2984901079826,904.6466969787906,200080
2001-03-28,929.5375366210938,930.1245882329978,912.2782048988017,930.0071349136728,136540
2001-03-29,917.0916748046875,935.7599381193669,915.8001903803089,927.5412184621077,200810
2001-03-30,945.1529541015625,945.1529541015626,926.9543568486754,927.541408372962,302245
2001-04-02,973.9188232421875,982.9594342459517,948.0885470380548,951.0238056976153,278500
2001-04-03,941.74853515625,964.5261752635105,935.7606350395835,962.7650197395966,250870
2001-04-04,902.1807861328125,915.8003524533923,880.5772619744157,915.8003524533923,915820
2001-04-05,909.2255859375,910.0474008836673,900.5371932183513,905.2336062207938,443705
2001-04-06,898.77587890625,915.2133214989182,892.4356938130244,915.2133214989182,339215
2001-04-09,894.431640625,906.407505417491,892.318269581986,904.0592994449069,293080
2001-04-10,904.9989624023438,915.8007289219464,898.1891764426782,906.9949526823123,278895
2001-04-11,903.942138671875,908.0515001279412,901.711313788237,905.1162419450368,209210
2001-04-12,913.4523315429688,913.4523315429686,903.9421238509176,904.0595055116785,184175
2001-04-16,910.5169067382812,913.4521643357612,900.7718658469602,909.9298552187852,144815
2001-04-17,921.671142578125,921.671142578125,902.4158187054904,908.8733872203691,163685
2001-04-18,939.3994750976562,951.0231196693406,921.0835029390095,929.8892725655775,341810
2001-04-19,958.655029296875,960.7684002097991,942.2175885006028,942.2175885006028,323235
2001-04-20,927.5415649414062,958.65530098058,927.5415649414062,958.65530098058,314290
2001-04-23,915.6830444335938,932.2378696250286,913.1000032584906,932.2378696250286,220285
2001-04-24,906.4075927734375,918.6182936723176,904.0593865745426,915.6830359236989,274355
2001-04-25,923.5494995117188,924.723602649497,906.4076223647842,906.5250040139346,201845
2001-04-26,937.5213012695312,954.5457957822528,920.8490233454496,924.6061675012596,320980
2001-04-27,947.5011596679688,950.7886338698202,942.2176959523482,942.2176959523482,204405
2001-04-30,960.4159545898438,964.9949835269532,954.1932249620949,954.5454414199792,329965
2001-05-01,973.331787109375,980.3764080052209,955.7202348697602,960.4166488003242,253715
2001-05-02,965.1126708984375,974.3881133101391,961.1206920135521,973.3313919401517,232350
2001-05-03,970.9830932617188,973.213917424765,952.1974469591946,965.11257879218,209350
