,Close,High,Low,Open,Volume
2001-01-02,5.34798002243042,5.463085552714518,5.303708664628844,5.409959923352627,1896000
2001-01-03,5.436523914337158,5.436523914337158,5.224021350910299,5.347981179575966,1608000
2001-01-04,5.640171527862549,5.728714252004818,5.43652326233533,5.43652326233533,1417200
2001-01-05,5.48079776763916,5.6755918724664,5.454234935162718,5.6755918724664,1198000
2001-01-08,5.34798002243042,5.480794095835149,5.303708664628844,5.418814194912942,784000
2001-01-09,5.365689277648926,5.4276691867966855,5.286000823030377,5.4276691867966855,802800
2001-01-10,5.321418285369873,5.3745439254900385,5.055790084769048,5.3745439254900385,1172800
2001-01-11,5.277146816253662,5.3922523676148995,5.22402117716386,5.3922523676148995,715600
2001-01-12,5.356836318969727,5.3656905938771144,5.250585020081071,5.312564944432786,975600
2001-01-16,5.4630889892578125,5.480797543517967,5.25944061526603,5.356837663696882,844800
2001-01-17,5.31256628036499,5.52506893157959,5.303712003231048,5.52506893157959,521200
2001-01-18,5.365689277648926,5.3745435503843195,5.153186731999463,5.339126459442743,795600
2001-01-19,5.22402286529541,5.37454555802426,5.1531886569524215,5.37454555802426,597200
2001-01-22,5.241732597351074,5.277149709495339,5.162044095026481,5.259441153423206,540000
2001-01-23,5.34798002243042,5.418814194912942,5.215165949025691,5.241728763706637,774000
2001-01-24,5.286001205444336,5.374543939203873,5.286001205444336,5.356835392451965,502400
2001-01-25,5.286001205444336,5.374543939203873,5.038081550917633,5.374543939203873,2572400
2001-01-26,5.197458744049072,5.241730113248809,4.905267707330811,5.126624553329494,2597200
2001-01-29,5.243145942687988,5.272896710012257,5.126977926802899,5.2403130509637,692000
2001-01-30,5.3834004402160645,5.3834004402160645,5.112813755495776,5.2417320075788,664800
2001-01-31,5.315399169921875,5.4542341563230785,5.312565736678324,5.329565795717497,1667600
2001-02-01,5.299813747406006,5.38198166214223,5.213395954466857,5.3508144475289106,898800
2001-02-02,5.267230987548828,5.364981985884935,5.217647265296174,5.357898674194847,931200
2001-02-05,5.122726917266846,5.302645765645734,5.121310471717571,5.302645765645734,1100400
2001-02-06,5.206318378448486,5.250235816465065,4.87339755545141,5.121317478234671,1762400
2001-02-07,5.340898513793945,5.352231704192441,5.185062957543897,5.199230121069554,619600
2001-02-08,5.221899032592773,5.369234346883644,5.17798161955735,5.340900549455056,1074800
2001-02-09,5.141145706176758,5.2558967495859665,5.100061745745861,5.2558967495859665,1006800
2001-02-12,5.206318378448486,5.255902146836121,5.121317478234671,5.128400796515399,749200
2001-02-13,5.285645484924316,5.298395655995316,5.241728108919367,5.255894725477464,964000
2001-02-14,5.248812198638916,5.308313185969317,5.219061975184647,5.298396444817894,880000
2001-02-15,5.459902286529541,5.474068915604095,5.2629832241130545,5.270066538650331,1487200
2001-02-16,5.321064472198486,5.560483836465072,5.2417299859670745,5.4598994177869775,1411200
2001-02-20,5.265814304351807,5.432983063895236,5.247397800980905,5.34798223787271,883600
2001-02-21,5.2629804611206055,5.284230393576514,5.141145569520962,5.265813353110481,843600
2001-02-22,5.190729141235352,5.262980314672098,5.100061468267008,5.262980314672098,864800
2001-02-23,5.156728267669678,5.192145355935481,5.032059965655925,5.192145355935481,1190800
2001-02-26,5.421652317047119,5.517986918198166,5.1708990646765125,5.213399496849664,1046000
2001-02-27,5.368818759918213,5.45591936771933,5.318843269225111,5.318843269225111,844800
2001-02-28,5.276005268096924,5.454489881058986,5.254586896664751,5.425932234046694,943200
2001-03-01,5.371674060821533,5.433072826133576,5.266011449371932,5.4259335488235125,1135600
2001-03-02,5.495898246765137,5.601560828857883,5.3888074827920125,5.404513670633632,982000
2001-03-05,5.720074653625488,5.761482666836115,5.468768031941477,5.468768031941477,1636800
2001-03-06,5.751492023468018,5.918554021489247,5.711511616454339,5.7557760275710494,2025600
2001-03-07,6.084184169769287,6.178424032856719,5.800036398435987,5.818598952516018,3219200
2001-03-08,6.087042331695557,6.13844601219617,6.068479770472097,6.085614149074943,1494000
2001-03-09,6.007081031799316,6.105604390309848,6.004225211230479,6.104176752371469,1597200
2001-03-12,5.8542962074279785,6.068477775992417,5.854296207427978,6.007079016095259,1880400
2001-03-13,5.861438274383545,5.925692884478977,5.6686749887894035,5.925692884478977,2660800
2001-03-14,5.682952404022217,5.80717759538472,5.618697806871942,5.7686253817866,1452800
2001-03-15,5.705796718597412,5.847156790114449,5.687234708613104,5.847156790114449,1293600
2001-03-16,5.534451007843018,5.682950346448518,5.511604997649237,5.668671794336848,1359600
2001-03-19,5.708653450012207,5.747206202947813,5.504466950033983,5.561582260610874,1109200
2001-03-20,5.513034820556641,5.761485187275458,5.5030397221651945,5.761485187275458,921200
2001-03-21,5.337408065795898,5.514464631085796,5.290287830791382,5.504469528756152,1372400
2001-03-22,5.327407360076904,5.404512276278858,5.068961520277963,5.304561358111205,1561600
2001-03-23,5.223175048828125,5.347400212471224,5.14749718698575,5.347400212471224,1477200
2001-03-26,5.445924282073975,5.4973279553002286,5.268867790619096,5.294569627232224,1024400
2001-03-27,5.483047962188721,5.4887590562899025,5.375957185932627,5.394519194972214,652400
