,Close,High,Low,Open,Volume
2001-01-02,18.89358901977539,21.25907849576653,17.983785375163414,21.198424919459065,2344400
2001-01-03,19.583524703979492,19.894374302455358,18.681302698647105,18.832936649123138,4705400
2001-01-04,19.742733001708984,19.985347232144733,18.954236752792806,19.166524204424086,6723600
2001-01-05,17.10430908203125,19.894373684064718,17.10430908203125,19.773066527454564,8838400
2001-01-08,17.86248016357422,17.953460537921796,16.80104246285249,16.922349628649258,3561200
2001-01-09,18.469013214111328,18.92391501741456,17.98378462392121,18.196072132129387,2423400
2001-01-10,18.98456573486328,19.045219299511405,17.77149444190077,18.378030088382026,2891000
2001-01-11,17.19529151916504,17.5288862399954,16.740389627123637,16.983003969545717,17488000
2001-01-12,17.58953857421875,17.801826108735185,17.104309923895475,17.164963505185884,4729400
2001-01-16,18.165740966796875,18.55998910130165,17.37724469778733,17.4682250365192,10342800
2001-01-17,18.135417938232422,18.741953655230162,18.105091152382535,18.628228208293084,2244200
2001-01-18,19.014896392822266,19.530451797412343,18.105092737663306,18.180909708926553,3081000
2001-01-19,20.13698959350586,21.22875408953931,18.92391793124647,19.257512638367803,6078800
2001-01-22,19.65175437927246,21.319727358994662,19.227179438979537,20.50090425985831,3401600
2001-01-23,20.743518829345703,21.016459866573935,19.71240824426127,19.742735026175517,3011800
2001-01-24,20.50090789794922,21.71397937120065,20.379600750624075,20.955809700418506,6843600
2001-01-25,19.196857452392578,19.985353967024817,18.741955617027823,19.530452131660063,6717400
2001-01-26,18.559995651245117,19.196858247121174,17.55921157201131,18.86326355404324,5686400
2001-01-29,18.772281646728516,19.121039706401177,18.347706617561798,18.438686980954667,2921400
2001-01-30,19.409143447875977,20.136986327171325,18.49933984875679,18.74195414185524,4240200
2001-01-31,22.229534149169922,23.44260558977947,21.16809663863657,21.228750210667048,12574800
2001-02-01,22.10822868347168,22.68443766150455,21.804960800296485,22.502476931599432,3937200
2001-02-02,22.138551712036133,22.472146326875034,21.713976747695714,22.10822492886896,6200800
2001-02-05,22.53280258178711,22.866397236429986,21.683652551787056,21.986920419644218,2075000
2001-02-06,23.19999885559082,24.170456324059977,22.259868183011324,22.563136141907936,3368200
2001-02-07,23.230314254760742,24.261424809149602,22.56312507250913,22.83606610161206,2617200
2001-02-08,22.86639976501465,23.95816421002861,22.441824703064775,23.442608777660904,3411600
2001-02-09,23.04836082458496,23.199994777378283,21.59267487776907,22.790583104836315,7128000
2001-02-12,23.83685302734375,24.473715512807132,22.654108411483183,22.949794565448325,4736200
2001-02-13,24.0794677734375,25.353192769009762,23.927833845393184,23.98848741661091,3977200
2001-02-14,24.80730628967285,24.837633069978075,23.563908297158687,23.988483221431817,3206000
2001-02-15,24.140119552612305,26.14168725421081,23.89750528575188,24.989269486623794,6405800
2001-02-16,23.65489387512207,24.049142106374106,22.44182239434658,23.503259940025135,5828600
2001-02-20,22.472148895263672,23.98848822692789,22.259861388830682,23.897507867028036,3508400
2001-02-21,22.92704963684082,23.654892482454816,22.229533576460742,22.472147858332075,6537400
2001-02-22,25.686790466308594,26.47528698593554,23.230320539778493,23.321300907427755,12190400
2001-02-23,25.74744415283203,26.353979939706754,24.47371900039511,25.44417625939467,7227800
2001-02-26,25.14090919494629,26.444961179726374,24.989275243227674,25.55032086458655,4379000
2001-02-27,24.231103897094727,25.20156112451279,23.472934188174367,25.20156112451279,5278200
2001-02-28,24.261425018310547,25.626130175590514,23.89750364303589,24.109791111946105,4227000
2001-03-01,25.383522033691406,25.89907743939362,22.684437850897456,23.927836182296915,5827000
2001-03-02,25.14090919494629,25.777771792164472,24.261432274978326,24.473719807384384,5424200
2001-03-05,24.261425018310547,24.807307081222536,23.958157205581667,24.74665351867676,3623800
2001-03-06,24.86796760559082,25.049928344168315,23.776203174125857,24.481301036113646,2884000
2001-03-07,26.505615234375,26.808883143235125,24.989275690074372,24.989275690074372,4416800
2001-03-08,25.626134872436523,26.14169024856838,25.383520577786236,25.899075953918096,4458000
2001-03-09,24.32208824157715,25.383526007730765,24.200781068302447,25.383526007730765,3183200
2001-03-12,24.231103897094727,26.02038441014678,23.412280611460737,24.10979674366747,5027600
2001-03-13,25.595813751220703,25.868754893117607,23.715552551486482,24.44339559654489,5109400
2001-03-14,25.535160064697266,26.6875782148855,24.10980077367497,24.140127567100976,4803200
2001-03-15,25.08025360107422,26.32365190535964,24.56469820661441,25.899076874628033,5018000
2001-03-16,22.98770523071289,25.110580383944953,22.108228381516753,25.102998686969123,12134200
2001-03-19,24.443387985229492,24.7466558262373,22.32051309817482,23.16966305299669,5149600
2001-03-20,23.442611694335938,25.959735589070583,23.321304518686073,24.746663832571958,6521200
2001-03-21,24.382734298706055,25.262211033360874,23.47293078009762,23.836852187540995,6028000
2001-03-22,24.746658325195312,25.353194068459903,23.56391362582936,24.079469007604263,7189200
2001-03-23,25.23188591003418,25.747441271176704,24.746657334841213,25.201559124084618,6385600
2001-03-26,25.11058235168457,26.02038606007894,24.86796802944607,25.595810996161568,4951600
2001-03-27,26.566267013549805,26.657247380034566,24.200777484946055,24.867966839167625,6403000
2001-03-28,27.11214828491211,27.56705010177305,25.656462470957095,25.92940356107366,13631000
2001-03-29,27.23345375061035,27.41541446609327,26.141689457712832,26.475284102764853,8114400
2001-03-30,26.32365608215332,26.97568212566288,26.172022118546444,26.748231180252567,5393200
2001-04-02,25.929405212402344,26.535941006844503,25.68679089462548,26.202346319901316,5514200
2001-04-03,25.74744415283203,26.050712046269393,24.62535294711379,25.65646378480082,7981600
2001-04-04,23.472930908203125,24.898289761802022,21.986918486365976,24.261427295300386,27941000
2001-04-05,24.61777114868164,24.655679635205637,22.532804389861976,24.170451007698514,12110200
2001-04-06,25.626134872436523,26.050709888074525,23.654893728402943,24.109795530872233,11735000
2001-04-09,25.954877853393555,25.983990383884077,24.65446509614556,25.590956414260724,6459600
2001-04-10,27.036937713623047,27.298959746301236,25.275557408007572,26.008251766811703,8058600
2001-04-11,27.167949676513672,27.79874647582061,26.34306070003528,27.4202669154363,8444800
2001-04-12,28.021955490112305,28.09474053048681,26.12471147815511,26.20234799075436,6787600
2001-04-16,27.97827911376953,28.376166390837007,27.17279976616951,27.87638155888642,8797000
2001-04-17,27.061199188232422,28.308236539576985,26.444958645385075,27.691995996729638,6514400
2001-04-18,28.63334083557129,29.93860704374194,27.051496305509875,27.798748845005296,13024600
2001-04-19,29.191356658935547,29.235027313194447,27.410568331823683,28.56055975930738,7551000
2001-04-20,27.556133270263672,28.822580241470757,26.571117930991353,28.822580241470757,8612800
2001-04-23,27.002973556518555,27.85212364507574,26.663313150895622,27.02723461742013,4785000
2001-04-24,26.935035705566406,27.779334187900684,26.444955689791914,27.119423070857803,5441000
2001-04-25,27.67744255065918,27.740520942234728,26.406142159053584,26.98356543532495,4745800
2001-04-26,27.163095474243164,27.900643132205836,26.60023039987693,27.76477972318644,4194600
2001-04-27,27.643478393554688,28.385877678992795,27.250442497793063,27.323227539934276,5353800
2001-04-30,27.473642349243164,27.92975841017208,27.07575505204997,27.755075820965278,4485400
2001-05-01,30.17636489868164,30.205479280010376,27.41541492884476,27.463937046725842,6908000
2001-05-02,28.143260955810547,30.156960540462652,27.77933947793369,30.08417550448714,7746800
2001-05-03,26.527446746826172,27.973429607702208,26.158673824247195,27.808451809206296,5845200
2001-05-04,28.774057388305664,28.808023244325057,25.799605368176667,26.11015324621161,7265200
2001-05-07,28.201488494873047,28.62849022326284,27.71140837498279,28.191783699795963,4112600
2001-05-08,26.98841667175293,28.45380739933683,26.808882591681503,28.177227220226666,5200600
2001-05-09,27.197063446044922,27.74051897547572,26.56626661800914,26.978710199532465,5466600
2001-05-10,26.454668045043945,27.992842083171702,26.202348907518154,27.92491036364563,3868600
2001-05-11,25.838424682617188,27.14854236066827,24.867967417542364,26.65360893336007,8498800
2001-05-14,26.57596778869629,26.663309075392025,25.256145546182978,25.954875839748855,4407800
2001-05-15,27.041790008544922,28.09473704679702,26.46436863337457,26.469220104997746,6651000
2001-05-16,29.230165481567383,29.24957321469273,26.954442645386532,26.954442645386532,10432800
2001-05-17,28.531436920166016,29.235018652118224,27.827855188213807,29.06518940864697,6934400
2001-05-18,28.75464630126953,28.92932889512878,27.876383711366405,28.803170272341674,4820400
2001-05-21,30.059913635253906,30.098730962664405,28.604227762854205,28.87110313592742,7353000
2001-05-22,29.967714309692383,30.93331993464119,29.20590563742122,30.13269209005047,6285000
2001-05-23,28.992406845092773,29.96286397798291,28.87109970348151,29.904637068289524,6642000
2001-05-24,30.59366226196289,30.748935262848654,28.92447657694087,29.021522665244515,4814000
2001-05-25,29.987125396728516,30.598514434361878,29.332067564550023,30.593661112079012,4363600
2001-05-29,28.492626190185547,29.987129431368114,28.347056118115514,29.987129431368114,9703400
2001-05-30,28.133556365966797,28.677011925276506,27.706554643866127,28.34220482955006,6085200
2001-05-31,28.57510757446289,29.205904287499614,28.143254482868517,28.216039502103495,7365800
2001-06-01,29.259279251098633,29.598939583734918,28.628482548202623,28.633334018940328,4631800
2001-06-04,29.06519317626953,29.550421764514432,28.803169294377245,29.45822714810779,2837600
2001-06-05,30.258859634399414,30.45780331162107,29.03123171283653,29.050639452540743,5693400
2001-06-06,29.768774032592773,30.045354188027115,29.084601776886736,29.870673445910864,6925600
2001-06-07,29.914342880249023,30.084172143887034,29.356329269438156,29.76877282455913,2830600
2001-06-08,28.342201232910156,29.836706145108874,28.254859940586847,29.836706145108874,3226200
2001-06-11,27.793893814086914,28.837136051934195,27.536723246571167,28.390724774227373,4107600
2001-06-12,28.623638153076172,29.220469155341995,27.396008440984346,27.63377128790343,4310800
2001-06-13,27.93946647644043,28.958445898157613,27.755079071681944,28.613934001872323,3246600
2001-06-14,27.09031867980957,27.84727425236917,27.075760560413805,27.81330839211332,5579800
2001-06-15,27.633771896362305,28.50718309327534,26.605087680042523,26.77006364353684,5362200
2001-06-18,27.48819923400879,28.27426899921766,27.221322039678526,28.240303147393828,3300400
2001-06-19,28.143260955810547,28.613933326184736,27.662883790572934,27.83271492418235,3971400
2001-06-20,29.642616271972656,30.084174239185202,27.97343049667474,28.00739635176799,5117200
2001-06-21,28.041358947753906,29.9628636025607,27.706550056461772,29.594090711123055,8866600
2001-06-22,26.78947639465332,28.143264927654794,26.779771598420265,28.02680922385871,5274800
2001-06-25,26.032514572143555,26.97870884105264,26.008251661863692,26.925335251037392,3865400
2001-06-26,26.15382194519043,26.377026654089597,25.290113789580303,25.959729767277995,5950800
2001-06-27,26.736093521118164,27.46878969987228,26.20234283342982,26.328501447447028,3721000
2001-06-28,27.400861740112305,27.85212452087246,26.84770138976124,26.896223513090142,4794200
2001-06-29,28.0947322845459,28.41012971459698,27.39115055443207,27.39600202523289,3520800
2001-07-02,26.313941955566406,27.94916152098187,26.144112716947543,27.827854393111288,7065600
2001-07-03,25.92576026916504,26.309091248603547,24.625347672563468,26.081033249266724,9029200
2001-07-05,25.712265014648438,26.609937208205405,25.644331453995246,25.95487932112332,2196800
2001-07-06,26.386734008789062,26.542007025787424,25.474503645673416,25.765640089795248,5356400
2001-07-09,25.707416534423828,26.444964387158223,25.03780040413855,26.22175962739667,5803000
2001-07-10,24.751514434814453,26.032519719473225,24.52830968370745,26.00825680439593,7910400
2001-07-11,26.168376922607422,26.614786318432312,24.72724747769428,24.78062291654293,5478200
2001-07-12,28.19178009033203,28.652747616972604,26.469218981201617,26.58567465621614,7289400
2001-07-13,28.60422706604004,28.87110243261203,27.250438793447245,27.939464385451565,4456400
2001-07-16,27.876384735107422,28.91962516296766,27.67258775112058,28.531442635135935,4974400
2001-07-17,27.507610321044922,28.87110343536073,27.07575713724748,27.9249072382875,5178000
2001-07-18,27.148536682128906,28.0170961969382,26.71183026378905,27.590094571339225,2586600
2001-07-19,27.255287170410156,28.609075289286157,27.056343535991104,27.658027761380456,2833600
2001-07-20,26.483774185180664,27.473638984453483,26.396432901274245,27.124275699827763,7479000
2001-07-23,25.765636444091797,26.677866678131615,25.183363638236703,26.39643506876833,4942200
2001-07-24,25.77534294128418,26.33820804821357,25.35804604543993,25.930615946575028,6006400
2001-07-25,27.03208351135254,27.158243977610223,25.77048995477645,25.8772408337637,5337000
2001-07-26,28.342201232910156,28.55570114136706,26.22660433174581,27.075754345222318,5285600
2001-07-27,29.5892391204834,29.63776308995953,28.08988270717405,28.13840667665018,8435800
2001-07-30,29.13312530517578,29.501898223152605,28.774055330224495,29.380591074331253,4075000
2001-07-31,27.61920928955078,29.065192055650332,27.585243437763218,28.968145971542967,10927600
2001-08-01,29.050634384155273,29.162236734735444,27.900643175046437,27.987984466978766,6397400
2001-08-02,28.96814727783203,29.137976544428128,28.410133657301696,29.084601103212158,3381600
2001-08-03,28.58481216430664,28.841982688712584,28.15295907577594,28.841982688712584,2260600
2001-08-06,28.541139602661133,28.730378417395233,28.036501529370337,28.555695865025356,2651400
2001-08-07,28.492626190185547,28.686716534611666,28.01710234749108,28.672160267804806,2367400
2001-08-08,27.303813934326172,29.006965530226278,27.01752898219479,28.41013456581683,3087600
2001-08-09,28.16751480102539,28.623630787748898,27.027228536216395,27.342625958972132,4488400
2001-08-10,28.089879989624023,28.172369804252902,27.357185705920404,28.089879989624023,2684600
2001-08-13,28.526588439941406,28.744941669438344,27.745370136074644,28.089881980947524,2798600
2001-08-14,28.69642448425293,28.871107109140592,27.94917185601151,27.99769583570284,3847000
2001-08-15,28.439245223999023,28.827427688507626,28.410130845035876,28.701269081667327,3445600
2001-08-16,27.38144874572754,28.628486040425383,26.63419629297471,28.279120872696762,5988200
2001-08-17,27.279556274414062,27.61436338857052,26.72154256648616,27.240737092540606,2978000
2001-08-20,27.934614181518555,28.08503573448938,27.05634962881874,27.347487939310614,2387800
2001-08-21,27.37660026550293,28.628491103952598,27.323226667437634,27.949170235662017,3734200
2001-08-22,27.832712173461914,27.997689967834603,26.92048190745998,27.478495525455884,2643800
2001-08-23,28.12870216369629,28.6187822287989,27.444529920750952,27.750222602002992,4588200
2001-08-24,28.2305965423584,28.579961682699714,28.021948122543446,28.14325525727307,4251200
2001-08-27,28.14811134338379,28.44410109681452,27.842418646463774,28.13840839989451,3335200
2001-08-28,27.924903869628906,28.67700778390734,27.886086546498458,28.283973826336084,2268600
2001-08-29,27.99283790588379,28.26456659443935,27.682291890963295,28.19178156237975,1744400
2001-08-30,27.342628479003906,28.143256339404218,26.85739992142797,27.84726662312289,3136600
2001-08-31,28.002540588378906,28.133552525605612,27.182504963885957,27.19220975749536,3346000
2001-09-04,27.60950469970703,29.307804591755794,27.594946584809477,28.01224342587289,5265200
2001-09-05,26.98356056213379,27.973427270401615,26.79917319075055,27.774483634514457,5654000
2001-09-06,26.92533302307129,27.6483225251824,26.153819555415797,26.915628229962415,6121600
2001-09-07,27.240732192993164,27.614358421822264,26.313945678962586,26.68272043643033,4688600
2001-09-10,26.33335304260254,27.119422757769787,25.566691062241908,27.080605437156578,5904400
2001-09-17,23.892658233642578,25.644332009495272,23.135700914683852,25.644332009495272,7821600
2001-09-18,23.61607551574707,24.489488492902495,23.32979241334643,23.834428760035927,5873200
2001-09-19,22.150684356689453,23.6306310846205,19.889519356207906,23.611221498109916,22174800
2001-09-20,22.46607780456543,23.150249873644643,21.005540923410408,21.670303409437796,11256600
2001-09-21,23.630638122558594,23.713126113295985,20.961880265516054,21.07833411726303,14351000
2001-09-24,23.208484649658203,24.256578343632928,22.902790115707184,24.038225105096487,9639400
2001-09-25,21.56355857849121,23.276416815891558,21.15596647552062,23.174517401898733,14723400
2001-09-26,22.058494567871094,22.645620805651543,21.713982661504097,22.005119118800064,8934000
2001-09-27,21.854692459106445,22.073045658051754,20.379597349564655,22.063340865765312,10147600
2001-09-28,22.160388946533203,22.621356479931457,21.563557999459743,21.840138149298657,9104000
2001-10-01,20.758079528808594,22.52916471152099,20.631920903522357,21.898367883089268,6850400
2001-10-02,20.835716247558594,21.374320311172056,19.99141948648907,20.74837494799964,9587000
2001-10-03,22.359333038330078,23.242448873599184,20.180655979254052,20.622213896888606,8709200
2001-10-04,23.426836013793945,24.212907671739952,22.165242405066095,22.61165182473896,8482400
2001-10-05,22.582542419433594,23.3394979490456,22.08275563788158,23.29582729533718,6227200
2001-10-08,22.95616340637207,23.936325301179124,22.102160120342152,22.55827614276723,5902800
2001-10-09,24.751514434814453,25.14940365987549,23.072623627095727,23.64034215169458,15892000
2001-10-10,25.227035522460938,25.256148053583097,24.382736950914556,24.770919457544995,7397000
2001-10-11,27.158241271972656,27.182502328143627,25.43082704800032,25.455088104171296,8654200
2001-10-12,27.264995574951172,27.37659793577297,25.401717594404037,27.002973526108832,6312000
2001-10-15,26.406131744384766,27.02722542809333,25.717108223848296,26.7312357731306,5967600
2001-10-16,26.338211059570312,26.85255410527837,25.959733297275964,26.808883451859757,6641200
2001-10-17,25.571542739868164,26.760352954578327,25.421121236039575,26.760352954578327,6480600
2001-10-18,26.338211059570312,26.6536104288159,25.7413800301829,25.751084825498197,5865800
2001-10-19,25.906354904174805,26.318800328696735,25.149399465617304,26.25572009181687,5260800
2001-10-22,26.808883666992188,26.969010014478876,25.620073070834977,25.940323914807895,5919600
2001-10-23,26.658458709716797,27.774485974371665,25.872388893281816,26.857402362363928,8890400
2001-10-24,26.614789962768555,27.439679014744137,26.45466547529702,26.63419955246218,4826800
2001-10-25,27.924903869628906,28.02194995395518,26.153820697424873,26.20234281408796,6571400
2001-10-26,26.478925704956055,27.80359961841946,26.221755128096945,27.318370997326625,6663000
2001-10-29,25.571542739868164,26.420692628804012,25.51816730783222,26.39643157360582,3659400
2001-10-30,24.848552703857422,25.464793162221973,24.261426623801416,25.459941691337193,6004600
2001-10-31,24.969858169555664,25.741371558712935,24.85340436609787,25.03778986340602,3634400
2001-11-01,25.712265014648438,25.940321204054648,25.04264901049768,25.314375849109382,3906200
2001-11-02,26.639047622680664,26.639047622680664,25.40171336319551,25.717112655025055,4225200
2001-11-05,26.83799171447754,27.609505181511697,26.808877335174355,27.080605989004003,5777600
2001-11-06,26.83799171447754,27.13883289661035,26.323648786121424,26.784616277921714,5655400
2001-11-07,25.959728240966797,27.046641041570677,25.84812589307891,26.842844081644913,4576400
2001-11-08,24.838851928710938,26.187788725861466,24.80488607402372,26.187788725861466,10069600
2001-11-09,25.08631706237793,25.6540335922702,24.877668632332032,24.940748863764533,6958200
2001-11-12,25.726821899414062,25.833572789150317,24.154680341208692,25.207627419151862,7036400
2001-11-13,26.595380783081055,26.736095673234733,26.07618631840991,26.144118027656564,6127000
2001-11-14,27.17280387878418,27.536725359303613,26.653609381323154,26.716689622893295,9555200
2001-11-15,26.86709976196289,27.444522823674927,26.595373004451073,27.11941878750937,5075800
