,Close,High,Low,Open,Volume
2001-01-02,15.772298812866211,16.0274389407214,15.702715141632977,16.0274389407214,571600
2001-01-03,15.981062889099121,16.004257465135552,15.586755096479841,15.911479160989837,930200
2001-01-04,15.981062889099121,16.398565257754832,15.841895432880552,16.189814073426977,901600
2001-01-05,15.934672355651855,16.07383979980602,15.679532041369221,16.07383979980602,799600
2001-01-08,16.305776596069336,16.352165718675508,15.911469053916877,15.934663615219963,941400
2001-01-09,15.86508846282959,16.166617921918455,15.725921020173189,16.166617921918455,494800
2001-01-10,15.702717781066895,15.795496024972756,15.192437439584662,15.77230146399629,452200
2001-01-11,15.72591495513916,15.841887779292103,15.401191047510917,15.749109519969748,455600
2001-01-12,15.540352821350098,15.865076611646966,15.354796369751888,15.84188205519719,326800
2001-01-16,15.215639114379883,15.424390260766193,15.053277111634976,15.401195688945492,1178400
2001-01-17,14.589380264282227,15.262022597611614,14.496602011409207,15.262022597611614,899800
2001-01-18,14.47341537475586,14.635777406203442,14.218275039623945,14.612582830282358,735600
2001-01-19,14.241467475891113,14.450218627817856,14.102300041273285,14.334245765636332,1162800
2001-01-22,14.47341537475586,14.566193678440191,14.10230216001853,14.287858767387194,678200
2001-01-23,14.450215339660645,14.751744712719375,14.334242503868827,14.334242503868827,692000
2001-01-24,14.450215339660645,14.635771876927556,14.380631638185553,14.5429936082941,549000
2001-01-25,14.450215339660645,14.589382742610828,14.2878533695521,14.427020772502281,1149200
2001-01-26,14.42702579498291,14.705360697780009,14.403831219749819,14.56619324638146,896800
2001-01-29,14.785144805908203,14.937301108397438,14.395476364478117,14.399186872287311,547200
2001-01-30,15.234186172485352,15.308409044930816,14.692361610295487,14.78513984693143,777800
2001-01-31,15.419751167297363,15.605307743114864,15.178528468145208,15.215639217034978,868000
2001-02-01,15.86508846282959,15.994977509701789,15.545930901161404,15.58675357751679,1159400
2001-02-02,15.642419815063477,15.939310051476598,15.545929603426515,15.846531764117227,587000
2001-02-05,15.88364028930664,15.957863191940865,15.586750094453867,15.586750094453867,360200
2001-02-06,15.96899700164795,16.19908815391509,15.831685544490215,15.879930646182899,896800
2001-02-07,15.887351989746094,16.028373945516332,15.753751050019261,15.994973710584624,573800
2001-02-08,15.868800163269043,15.946735012928672,15.7166438045005,15.939312578880871,587200
2001-02-09,15.980127334594727,16.12486118754955,15.894771508895317,15.902192523578885,567200
2001-02-12,15.790867805480957,15.980136347387623,15.679534118545373,15.980136347387623,571800
2001-02-13,15.345523834228516,16.0506391855312,15.338102819135319,15.716636878980681,1091400
2001-02-14,15.757463455200195,16.213932443768535,15.416040048733182,15.438305930912346,1155200
2001-02-15,15.716636657714844,16.058061390235746,15.642415182356467,15.664681058690423,1169600
2001-02-16,15.497676849365234,15.842812021269527,15.427165895416257,15.772301067320548,519800
2001-02-20,15.894775390625,16.284443878131437,15.568195453122874,15.586750825730956,626400
2001-02-21,15.790867805480957,15.957869043726651,15.549645053067964,15.957869043726651,612600
