,Close,High,Low,Open,Volume
2001-01-02,8.281664848327637,8.281664848327637,7.996090198385304,8.0164883876669,662200
2001-01-03,8.342857360839844,8.444848282121503,8.240866439558182,8.240866439558182,566800
2001-01-04,7.465740203857422,8.322464489545979,7.465740203857422,8.322464489545979,666200
2001-01-05,7.567730903625488,7.567730903625489,7.404545331579656,7.465739921096843,303400
2001-01-08,7.751313209533691,7.792109594847027,7.50653489765368,7.526933090310347,136700
2001-01-09,7.792110919952393,7.792110919952393,7.608527154822624,7.710518135450273,131400
2001-01-10,7.996091842651367,7.996091842651367,7.75131352093755,7.812508101366004,172400
2001-01-11,7.6289238929748535,7.996091353064552,7.547331124066031,7.975693160837347,432200
2001-01-12,7.608528137207031,7.73091732976264,7.50653714341069,7.5881299384477625,395800
2001-01-16,7.669719696044922,7.730914268087833,7.506534170597158,7.669719696044922,426100
2001-01-17,7.8533034324646,7.894099813931948,7.669719715861531,7.669719715861531,427100
2001-01-18,7.690117359161377,7.812506494850948,7.690117359161377,7.792108305569353,854500
2001-01-19,7.792110919952393,7.832907312203452,7.6901199393247435,7.6901199393247435,380600
2001-01-22,7.751313209533691,7.873702365473696,7.730915016877024,7.730915016877024,187200
2001-01-23,7.832905292510986,7.914498055974643,7.7309143381814165,7.7309143381814165,419000
2001-01-24,7.771710395812988,7.894099535904532,7.771710395812988,7.853303155874017,195800
2001-01-25,7.812509536743164,7.914500522862526,7.751314945071546,7.812509536743163,324900
2001-01-26,7.751313209533691,7.832905980160362,7.608525860937018,7.832905980160362,165100
2001-01-29,7.8883891105651855,7.996091543185506,7.839433572556575,7.898180467168284,168900
2001-01-30,8.009146690368652,8.025464995547324,7.91449877732273,7.91449877732273,160700
2001-01-31,7.898181915283203,8.012411317412536,7.832907437634825,7.947137462267711,435600
2001-02-01,7.862281799316406,7.911237351960863,7.76110690751738,7.911237351960863,119800
2001-02-02,7.855750560760498,7.956925405350795,7.832904688353334,7.8426960433149775,184000
2001-02-05,7.956928730010986,7.996093543718536,7.836171747544597,7.836171747544597,157400
2001-02-06,7.832905292510986,7.960189804313208,7.832905292510986,7.901442915018834,107000
2001-02-07,7.960190773010254,8.025465240725957,7.832906245718435,7.832906245718435,130200
2001-02-08,7.898181915283203,8.035257820341956,7.8622808903262404,7.953665034533259,160900
2001-02-09,8.077683448791504,8.090738589530565,7.917761709758259,7.937343798363476,204100
2001-02-12,8.012413024902344,8.107060975412143,8.012413024902344,8.045050270681712,150400
2001-02-13,8.156014442443848,8.16580580041924,8.02872990128138,8.061367138695829,369900
2001-02-14,7.976508617401123,8.07768346836045,7.904706588169092,8.07768346836045,202900
2001-02-15,7.960190773010254,7.9928280068681055,7.783950706183387,7.8949169277980085,226600
2001-02-16,7.783949851989746,7.950399166145894,7.770894710877864,7.947135380867924,272800
2001-02-20,7.800267219543457,7.92428855520543,7.725202034671025,7.751311691257232,216900
2001-02-21,7.865548133850098,7.99609652402733,7.832910880679833,7.832910880679833,225200
2001-02-22,7.832905292510986,7.898179752283265,7.774158403216613,7.836169077749939,205500
2001-02-23,7.832905292510986,7.855751166680269,7.741521173330474,7.832905292510986,171700
2001-02-26,8.054841041564941,8.12990626561025,7.8329085335147735,7.898183020295519,240100
2001-02-27,8.012413024902344,8.09400582809892,7.979776401626663,8.06136920482324,119100
2001-02-28,8.074424743652344,8.080952318128714,7.81659177687335,7.934085004929198,91000
2001-03-01,8.100526809692383,8.136427813084465,7.891649602690843,8.0254616412391,187800
2001-03-02,8.028726577758789,8.156011066231349,7.940606259968586,8.077682102363369,162400
2001-03-05,7.996091842651367,8.129903942054643,7.996091842651367,8.071157045242773,940400
2001-03-06,7.996091842651367,8.094002922335509,7.947136302809296,8.045047382493438,113400
2001-03-07,8.161297798156738,8.177818391303601,7.99608934580717,7.99608934580717,426400
2001-03-08,8.128257751464844,8.144778348208852,8.07869533101245,8.095215927756458,142200
2001-03-09,8.181124687194824,8.227382863780342,8.09521619480716,8.111736792096162,6774700
2001-03-12,8.161297798156738,8.207555963144143,8.111734758275682,8.177818391303601,147300
2001-03-13,8.098516464233398,8.128254028929856,7.89696199911743,8.128254028929856,146800
2001-03-14,8.025829315185547,8.025829315185547,7.8407953395206835,8.01591657820408,112200
2001-03-15,7.930006504058838,8.029131333271454,7.880444089452529,8.012610738476116,113600
2001-03-16,7.930006504058838,8.095214972893396,7.863922864436896,8.012610738476116,201700
2001-03-19,7.930006504058838,7.972960428658893,7.880444089452529,7.963048323869808,84100
2001-03-20,7.698718547821045,7.9993980728504965,7.698718547821046,7.8804483396851905,151600
2001-03-21,7.612812042236328,7.870537036333837,7.612812042236328,7.682199346733119,115000
2001-03-22,7.434382438659668,7.599590937296549,7.203090288479871,7.599590937296549,259300
2001-03-23,7.417862892150879,7.434383492267719,7.3517792312425225,7.434383492267719,97300
2001-03-26,7.698718547821045,7.804452554286677,7.43438510720855,7.43438510720855,102500
2001-03-27,7.665676593780518,7.840797244796976,7.6623723473171115,7.748280864703926,117900
2001-03-28,7.764798164367676,8.029131466811219,7.731756344007156,7.744973324239486,320000
2001-03-29,7.926703929901123,7.963050002376496,7.721845738288209,7.764799671942392,153600
2001-03-30,7.88044548034668,8.260424899688259,7.88044548034668,7.946528501411942,553500
2001-04-02,7.698718547821045,8.002702319635732,7.698718547821046,7.764802223084486,467700
2001-04-03,7.979572296142578,7.979572296142578,7.735063734401834,7.78132192358451,175700
2001-04-04,8.28355598449707,8.379377238927406,7.959747401660427,7.959747401660427,557500
2001-04-05,8.392590522766113,8.419023853931506,8.22738204542733,8.22738204542733,338300
2001-04-06,8.045652389526367,8.392589914713673,7.963048156841744,8.392589914713673,272800
2001-04-09,8.144775390625,8.253812928113994,7.979566962294999,7.979566962294999,224600
2001-04-10,8.108433723449707,8.243904647057622,8.095216740551162,8.14477916597984,460700
2001-04-11,7.811056137084961,8.11173549733855,7.718539798680958,8.11173549733855,775700
2001-04-12,7.68219518661499,7.787928524907329,7.649153360843532,7.68219518661499,535500
2001-04-16,7.731756210327148,7.814360444690088,7.668976815749631,7.6821937957534425,558500
2001-04-17,7.77140998840332,7.7945390835119275,7.705326319332519,7.705326319332519,161300
2001-04-18,7.953136920928955,7.953136920928955,7.735061755959617,7.781319933310567,414300
2001-04-19,7.725147724151611,7.896964682964501,7.682193799558536,7.896964682964501,483100
2001-04-20,7.659063339233398,7.764796639445945,7.553330039020853,7.6987130117030125,310300
2001-04-23,7.622721195220947,7.6491545338476055,7.50046724040534,7.642546041635815,265400
2001-04-24,7.817663669586182,7.8440969959243,7.566546754263944,7.566546754263944,339000
2001-04-25,7.9630537033081055,7.9630537033081055,7.74828267477874,7.75158629179333,262400
2001-04-26,8.065475463867188,8.09190878733281,7.887050688029274,7.887050688029274,224400
2001-04-27,8.243903160095215,8.24720677500354,7.9993940623379975,7.9993940623379975,827500
2001-04-30,8.184428215026855,8.376070025788527,8.148082147913671,8.164602743754028,532800
2001-05-01,8.47519588470459,8.531366799653261,8.233991627074584,8.250512224909906,611800
2001-05-02,8.346339225769043,8.49172298204334,8.346339225769043,8.45868113331452,289700
2001-05-03,8.108433723449707,8.313291916613682,8.062174913525235,8.313291916613682,238900
2001-05-04,8.30998706817627,8.343028892805716,8.210862224508316,8.224078576227864,543900
2001-05-07,8.015915870666504,8.26042435597698,7.9300073817379,8.26042435597698,285500
2001-05-08,7.73505973815918,8.095214217006902,7.725147004075397,8.095214217006902,508300
2001-05-09,7.692111015319824,7.74828195264355,7.599593992015845,7.735064964934127,429400
2001-05-10,7.483946323394775,7.731759119733812,7.464121476149401,7.725150627245177,397800
2001-05-11,7.480640888214111,7.520291206623564,7.447599691463403,7.487249379652425,361300
2001-05-14,7.35178279876709,7.5235998963283475,7.318740952279032,7.500470792852948,341800
2001-05-15,7.186572551727295,7.302218672856693,7.103968269523532,7.302218672856693,480700
2001-05-16,7.021358013153076,7.265866404808228,7.021358013153076,7.107266469175717,497900
2001-05-17,7.2691731452941895,7.312127072946706,6.938756184144454,7.070922842560281,372800
2001-05-18,7.203089237213135,7.222914707914793,7.087443809221706,7.186568641848735,217500
2001-05-21,7.179959297180176,7.209696869473496,7.153525969610585,7.156830214334314,143400
2001-05-22,7.087447166442871,7.206396895896008,7.087447166442871,7.170051442833951,245000
2001-05-23,6.8198065757751465,7.1039653931725795,6.608339900625655,7.087444795509176,744000
2001-05-24,7.024665832519531,7.170049495953643,6.776853070634781,6.780157316419697,325900
2001-05-25,6.856152057647705,7.044489627793615,6.776852061282077,7.024664786257295,262500
2001-05-29,6.7074666023254395,6.83963394107163,6.611645974977088,6.83963394107163,314900
2001-05-30,6.740506172180176,6.743810417560651,6.667814664470814,6.674423155231765,429400
2001-05-31,6.938755989074707,6.9717978103048415,6.753722672494406,6.753722672494406,274200
2001-06-01,7.090749740600586,7.097358232993406,6.905716365145295,6.922237596127344,226500
2001-06-04,7.173349380493164,7.186566356758375,7.070920335318241,7.1006579016948494,235400
2001-06-05,7.137009143829346,7.18657158040874,7.087446707249952,7.137009143829346,588100
2001-06-06,6.956070899963379,7.103502252428802,6.956070899963379,7.059942684176849,946500
2001-06-07,7.0364861488342285,7.0364861488342285,6.868950764338176,6.868950764338176,601300
2001-06-08,7.0364861488342285,7.096798989508292,6.932614389393772,6.9862256613047675,7647700
2001-06-11,7.0398359298706055,7.069992345909625,6.986224665600499,6.992926233408433,290100
2001-06-12,7.160464286804199,7.167165218035416,7.036487792121321,7.036487792121321,418800
2001-06-13,7.522336483001709,7.52233648300171,7.157109416826067,7.1738626939878065,874600
2001-06-14,7.492185115814209,7.49218511581421,7.354806105509308,7.405066609921372,642700
2001-06-15,7.388310432434082,7.619509449239245,7.388310432434083,7.48213048077017,534900
2001-06-18,7.411764144897461,7.5390907293461185,7.411764144897462,7.421815856848074,553800
2001-06-19,7.451975345611572,7.455326130676538,7.2810891418797175,7.455326130676538,645200
2001-06-20,7.485482215881348,7.535742711370523,7.374908870166409,7.438572505304365,526600
2001-06-21,7.43856954574585,7.539090496730272,7.354801873559958,7.472076103342911,577300
2001-06-22,7.388310432434082,7.4720781273101915,7.371557149097578,7.421817638203885,440100
2001-06-25,7.391661167144775,7.428519157153033,7.368206314992899,7.368206314992899,499500
2001-06-26,7.321296691894531,7.354803897810344,7.116903310995188,7.354803897810344,601500
2001-06-27,7.451975345611572,7.455326130676538,7.28779071200965,7.28779071200965,453600
2001-06-28,7.321296691894531,7.435220808550217,7.287789485978718,7.435220808550217,548700
2001-06-29,7.204022407531738,7.371557812358057,7.086747496333944,7.304543394788789,1337800
2001-07-02,7.120250701904297,7.281084446728859,7.069990236533682,7.069990236533682,818000
2001-07-03,7.539090156555176,7.539090156555176,7.153759009706118,7.153759009706118,347300
2001-07-05,7.572598934173584,7.673119901628092,7.482129680006492,7.505584529806095,588900
2001-07-06,7.572598934173584,7.6228594179008375,7.508935313934142,7.606106136357328,320200
2001-07-09,7.371555328369141,7.609455216291032,7.354802049170591,7.539090676741166,657400
2001-07-10,7.405063152313232,7.572598514858343,7.405063152313232,7.488830833585787,180200
2001-07-11,7.287787914276123,7.48212889975962,7.271034634479669,7.48212889975962,184100
2001-07-12,7.338050365447998,7.388310857445532,7.301193012168117,7.354804288845063,422700
2001-07-13,7.34475040435791,7.401712453844907,7.271035074061613,7.321295555586211,347300
2001-07-16,7.137009143829346,7.384962145465014,7.137009143829346,7.371559004145484,297200
2001-07-17,7.4285173416137695,7.431868125258928,7.137005555451241,7.153759473677037,373200
2001-07-18,7.354799747467041,7.39835864320938,7.311240212628268,7.368202238812208,733700
2001-07-19,7.2542829513549805,7.374908648175571,7.2542829513549805,7.354804578404424,225900
2001-07-20,7.271037578582764,7.351454504541205,7.23753036632585,7.23753036632585,312500
2001-07-23,6.3361897468566895,7.086748377065383,6.33283896165211,7.086748377065383,2322600
2001-07-24,6.1317973136901855,6.332839984766281,6.08153680569542,6.332839984766281,1303200
2001-07-25,5.696203708648682,6.131795501318373,5.434848249588761,6.131795501318373,3443300
2001-07-26,5.964260101318359,6.031274518271222,5.712956996390392,5.7297109201770295,1336600
2001-07-27,6.259119033813477,6.3663415256746685,6.115038570713827,6.148545759194565,1339800
2001-07-30,6.285928249359131,6.3093831029718,6.128445204319184,6.23231697278822,512700
