,Close,High,Low,Open,Volume
2024-03-27,130.76446533203125,134.50059291294642,114.57457914806548,114.57457914806548,4960400.0
2024-03-28,136.244140625,137.41976832558947,129.4792645729438,137.41976832558947,2239100.0
2024-04-01,141.49465942382812,143.79611209239755,136.56297296227285,140.48838577573218,1029500.0
2024-04-02,139.4821014404297,151.9159302264635,138.12713184691466,142.32156458640407,18246100.0
2024-04-03,136.83192443847656,143.46729026163925,135.29762816220855,141.77358223651868,8866900.0
2024-04-04,125.59368133544922,138.8345279994394,124.7966452249304,135.49691410775907,14207700.0
2024-04-05,122.24610137939453,127.70582533969726,118.55979157264645,125.0357465745137,16054800.0
2024-04-08,129.47926330566406,131.46189223934545,125.3944237980705,125.66342167921258,12195000.0
2024-04-09,131.68106079101562,133.105778687456,127.77556389809942,130.38586684943587,9143500.0
2024-04-10,137.85813903808594,139.41236587859103,128.46302964081383,129.0209556653701,8376800.0
2024-04-11,136.06480407714844,138.8046312071555,135.90539230465833,138.68506477661626,5326900.0
2024-04-12,133.50428771972656,137.59908401832826,133.0609266312946,134.5005883743514,3765200.0
2024-04-15,131.2626190185547,134.8194198632786,129.36965374362634,134.10208213328963,3724900.0
2024-04-16,129.58883666992188,132.55780843795236,127.77556213624443,132.00984002380028,5870900.0
2024-04-17,134.2515411376953,137.6688457968021,130.7644881211318,131.5515591129816,6154600.0
2024-04-18,136.71240234375,137.89800277453494,134.9290153286274,137.6389548268946,5022300.0
2024-04-19,134.60023498535156,140.06991627498795,134.40594904547086,136.74227547839294,4518800.0
2024-04-22,136.1843719482422,136.6327043111102,131.621312018886,135.0187017238473,2435000.0
2024-04-23,147.28314208984375,147.80122273788243,137.35997990433034,137.9478089021798,4682800.0
2024-04-24,145.6392364501953,149.34547645924107,143.81601945435105,146.45621036295,4684600.0
2024-04-25,147.76136779785156,151.5772016495198,138.16002364778916,142.47101303298763,6069300.0
2024-04-26,152.50376892089844,156.66829891773952,149.64437532165832,153.07165246485695,4230500.0
2024-04-29,158.42176818847656,158.9597790775954,153.01186270665,153.01186270665,5416300.0
2024-04-30,153.1414031982422,162.49666713521052,151.68679733607027,157.55500846071513,3490100.0
2024-05-01,151.1089324951172,156.12032403706633,148.86825916867645,153.6196146345772,3396800.0
2024-05-02,153.2609405517578,154.86498530827015,151.09796647357012,152.96204729729828,2530700.0
2024-05-03,165.64495849609375,166.5515958341288,154.56609893563854,155.0542917797366,4635100.0
2024-05-06,168.5143280029297,170.53681754635176,163.90145012488244,166.5416565433167,4007000.0
2024-05-07,166.74087524414062,172.8581605482442,166.5465893227695,168.03606911292425,2884800.0
2024-05-08,163.39332580566406,166.39218564181468,162.62119879209288,166.38222810698718,3679700.0
2024-05-09,165.784423828125,168.09584865763495,164.04089767223041,164.38960898434598,4022600.0
2024-05-10,166.6512451171875,170.16818585256135,165.37598126312048,168.374841307047,3459600.0
2024-05-13,160.9324493408203,166.9301837550517,159.5874373275368,164.38961395348397,4413800.0
2024-05-14,165.0172882080078,165.93885418471118,158.27232827765852,160.09556036528656,3855400.0
2024-05-15,167.24899291992188,171.71243098227785,166.33837262464078,167.7371857336508,2572000.0
2024-05-16,165.784423828125,169.37111228690193,165.73462095697275,167.40839876950756,1604400.0
2024-05-17,162.01841735839844,167.01985120280617,160.34463945484092,166.2626681324838,1937200.0
2024-05-20,160.35459899902344,163.6922125160108,159.6173461904101,162.45679414146525,1736100.0
2024-05-21,163.32357788085938,163.88151908186336,158.4815707343354,159.6472408106108,1945300.0
2024-05-22,163.243896484375,166.74090691214792,162.39703470100875,163.682256078016,2018900.0
2024-05-23,161.07192993164062,169.3711164625885,160.84278503072935,165.80435818574236,3139000.0
2024-05-24,176.7736358642578,177.11238967512512,161.49038591367903,162.2077236742851,4294100.0
2024-05-28,177.4311981201172,182.10385110162514,176.12604656115641,177.6802733093034,2632700.0
2024-05-29,176.66404724121094,178.0289743340714,173.4519595582898,175.34892302142597,1537700.0
2024-05-30,174.4323272705078,177.15222390754747,173.8544710439032,176.31533497343406,2034100.0
2024-05-31,175.24929809570312,179.10000601677132,164.78814008629593,176.4448711729385,5454900.0
2024-06-03,169.73973083496094,178.3378100032171,165.82427671693014,178.26806166307543,3434800.0
2024-06-04,162.43687438964844,168.78332077036765,160.7332085491548,167.7272443635412,5279800.0
2024-06-05,162.88522338867188,167.67742780794,161.86899231524308,164.47929554847747,8005500.0
2024-06-06,159.71694946289062,163.5228251165729,154.92474592797538,162.64607570895166,5249000.0
2024-06-07,161.4804229736328,165.14680233636534,158.45166026304784,158.90996528456068,4850300.0
2024-06-10,166.0235595703125,169.3711307628964,160.00391810644507,160.62361122556487,4223600.0
2024-06-11,167.607666015625,167.9165168067205,162.6959107588509,164.8877693043006,2036100.0
2024-06-12,176.86331176757812,178.55701998650886,170.52185207939547,170.90542239176895,4016500.0
2024-06-13,175.51829528808594,181.28688494620445,172.20061208000408,179.13487175139312,3462200.0
2024-06-14,169.5404815673828,174.1334282202292,165.58516672914163,173.44597833213234,3128300.0
2024-06-17,168.13572692871094,171.24419593597136,165.53538108733878,169.12207024866058,2804200.0
2024-06-18,178.90573120117188,179.58320840733157,165.71470392908813,167.3187487287813,3364900.0
2024-06-20,176.52455139160156,184.8137805438461,174.44727293761449,177.8097878127384,4005300.0
2024-06-21,175.0799560546875,176.5245893452458,169.7696703377328,176.4448986498739,3793000.0
2024-06-24,177.48101806640625,178.4872763684658,174.1234893455882,175.89690349507163,2552900.0
2024-06-25,180.77877807617188,180.82859615690427,175.61794720198694,179.13488782841029,2553400.0
2024-06-26,179.33412170410156,181.05274645136927,176.9629212301535,180.22082869776708,2284000.0
2024-06-27,175.62789916992188,178.6098236153955,172.60910904182802,177.73009441050192,2541300.0
2024-06-28,170.8755340576172,175.64782310472256,166.55657887280924,174.15337199810668,3783600.0
2024-07-01,166.90029907226562,170.5666783852263,164.50916824863083,170.36742128384233,2748200.0
2024-07-02,169.1818084716797,171.3437790263034,164.7980917566805,164.7980917566805,2447400.0
2024-07-03,172.04119873046875,174.13343629541046,168.55414625712746,169.47075628532414,1317200.0
2024-07-05,175.57806396484375,176.78359447245225,170.6264483863977,170.86556602160337,1629500.0
2024-07-08,173.72494506835938,177.93930789921532,173.52568797241312,176.15592116499278,1659100.0
2024-07-09,172.34010314941406,174.18326565711303,171.96151919394296,173.635297192472,1800600.0
2024-07-10,179.0651397705078,179.13488812411703,173.95412696861823,174.2828928568382,1835700.0
2024-07-11,176.04632568359375,182.48243471307373,175.89688666374605,180.33042161321586,2574500.0
2024-07-12,179.78245544433594,183.64909511646007,173.75483326375635,177.2917037335462,1603900.0
2024-07-15,176.78359985351562,181.13742907764336,175.84707475671416,179.57324487312744,3026400.0
2024-07-16,182.06399536132812,183.2097350852055,177.52085140009717,178.11863790093716,1789700.0
2024-07-17,165.21656799316406,179.5334060147846,162.29739866434969,179.5334060147846,6033800.0
2024-07-18,160.89260864257812,170.8157552941097,158.84021639072512,167.37852085278004,4736600.0
2024-07-19,162.7357635498047,163.08447489901326,158.52141556421094,161.40072417127138,2547800.0
2024-07-22,166.14309692382812,167.6275904188051,163.07848720262857,165.76451300074226,1738600.0
2024-07-23,169.85934448242188,170.3774100003675,165.60513541861587,166.38224889787944,3221800.0
2024-07-24,162.29739379882812,171.662630414831,162.12802448756878,166.7209717712041,5532100.0
2024-07-25,159.40811157226562,165.67483626941976,155.83139571742504,165.3859157562256,5163200.0
2024-07-26,172.46961975097656,173.3324135064066,163.08446871103288,167.8368274435224,3871900.0
2024-07-29,171.41354370117188,174.1234829039743,169.22168513481944,173.6751506157749,1757800.0
2024-07-30,162.09811401367188,173.42606283255225,161.84903884917566,172.29026548820156,2639300.0
2024-07-31,177.5806427001953,179.5881880077946,170.6164953163378,170.6164953163378,4056500.0
2024-08-01,173.38621520996094,183.17985323184615,171.1744263682719,181.2270971076878,3706800.0
2024-08-02,164.12063598632812,169.36118822586388,160.90258847351433,168.15565749935269,3314500.0
2024-08-05,161.63983154296875,164.77817267678094,149.455062998431,151.84120743899928,3700500.0
2024-08-06,163.74203491210938,165.849201276178,159.4081205536206,162.47672869855896,2799900.0
2024-08-07,165.45567321777344,172.11095494545722,164.08077331496446,168.0360885174527,3312800.0
2024-08-08,176.554443359375,176.80351851973606,164.43942391085037,168.57406549190767,2755800.0
2024-08-09,178.44741821289062,178.8857929513684,171.9615061568006,175.8670030596191,2766500.0
2024-08-12,175.78729248046875,179.83227076445806,173.7448730684373,177.8297118925002,1797800.0
2024-08-13,178.9854278564453,179.5931719362997,174.66647251716336,177.3913557404463,1551800.0
2024-08-14,183.478759765625,184.5049483778507,177.59061836374016,179.3341447712383,2242700.0
2024-08-15,188.12152099609375,190.09419228823515,180.93818566724923,184.81379510199517,3478000.0
2024-08-16,183.37911987304688,188.12152133444832,179.72370117467202,188.02188517510962,2718300.0
2024-08-19,184.71414184570312,184.8237355296972,180.5446258904134,183.4189631105723,1626900.0
2024-08-20,183.3193359375,185.31193741508153,181.00791092638087,184.27579133576998,1138200.0
2024-08-21,183.578369140625,184.55475481290037,181.1374353646223,182.79129824393655,1601400.0
