,Close,High,Low,Open,Volume
2001-01-02,24.810428619384766,25.29180665609539,24.45915439751414,24.58925631291746,5562835
2001-01-03,24.52420997619629,24.95354734427,24.2249764525158,24.563241509401678,5686262
2001-01-04,24.771400451660156,24.87548199010541,24.055838925130637,24.537216990158335,4856238
2001-01-05,23.847673416137695,24.355069874179662,23.015021259813285,24.355069874179662,10006932
2001-01-08,23.990785598754883,24.01680597977122,22.806859212229725,23.522418740460783,6561974
2001-01-09,23.61349868774414,23.97778416950816,23.340285526139777,23.925743386399013,4739509
2001-01-10,23.379304885864258,23.418336405755934,22.689765762518345,23.02803070402151,5195902
2001-01-11,23.340280532836914,23.71757517994304,22.806863569803383,23.392321304812718,5011958
2001-01-12,22.832876205444336,23.353285691284658,22.58568355162068,23.340274551906358,4372337
2001-01-16,23.626501083374023,23.626501083374023,22.910941530343088,23.028032299256484,5079890
2001-01-17,22.897933959960938,22.897933959960938,22.039261222775753,22.169363152652295,13816431
2001-01-18,22.689767837524414,22.897930897486198,22.429564012572186,22.897930897486198,6417497
2001-01-19,22.221405029296875,22.676762756220448,22.10431423630549,22.676762756220448,4857674
2001-01-22,22.66374969482422,22.689770079890963,21.94819005520715,22.182373520807854,4846670
2001-01-23,23.106096267700195,23.249209335451333,22.572679322933002,22.663749721053595,4220445
2001-01-24,22.299455642700195,23.02802614158962,22.013231518136493,22.79384276694659,4428788
2001-01-25,22.79385757446289,22.858909503841296,21.66197147810198,22.273449737184926,5051904
2001-01-26,22.33849334716797,23.015023283673205,22.247421059843187,22.80686022628698,3535376
2001-01-29,22.333833694458008,22.439997121465076,22.038241146789876,22.33799726405651,3678178
2001-01-30,23.189359664916992,23.314257121564705,22.158951373840903,22.22140105188308,5531739
2001-01-31,23.033248901367188,23.50161602287223,22.98328989369499,23.191453058808342,4877049
2001-02-01,23.22058868408203,23.62442418318042,22.79593535559755,23.08528229025737,4526382
2001-02-02,22.633560180664062,23.251803922014112,22.398335881503883,23.064458715134478,3975743
2001-02-05,22.850055694580078,23.23932057475086,22.544056425558317,22.544056425558317,3935558
2001-02-06,23.243486404418945,23.574465199083047,22.943730554970013,23.12691415756742,3684398
2001-02-07,23.289281845092773,23.761812382744715,23.126914172347377,23.126914172347377,3353106
2001-02-08,23.324665069580078,23.51201221177708,23.145646957408868,23.495359850035662,2514470
2001-02-09,23.035320281982422,23.378787829755847,22.989524862204195,23.3767079465266,2083193
2001-02-12,23.4141788482666,23.4141788482666,22.977036730056344,22.997852659602174,3255273
2001-02-13,23.759727478027344,24.022013099712353,23.35589203160115,23.414176247969245,4039131
2001-02-14,23.099857330322266,23.75973516331195,22.691858186591183,23.75973516331195,5032768
2001-02-15,23.886701583862305,23.917926417713193,22.908336119443327,23.07486540092085,3353823
2001-02-16,23.568222045898438,23.928343935824646,23.203936589705794,23.886712072034637,4197482
2001-02-20,23.697269439697266,23.884616517606815,23.553637882942787,23.57029023897001,4137442
2001-02-21,23.28293800354004,23.90655060352284,23.280845190023207,23.64706082244948,3819785
2001-02-22,23.07157325744629,23.54242180817994,22.7325623772981,23.51103152289752,5202122
2001-02-23,23.102970123291016,23.312236205445863,22.9920586414686,23.218065322775317,6721998
2001-02-26,23.301776885986328,23.416874018426626,23.033915787962897,23.22853412420697,4028128
2001-02-27,23.64705467224121,23.74750205691892,23.165742059576157,23.5005692211697,4563697
2001-02-28,23.594736099243164,23.870966382899862,23.444065035430416,23.649145412758994,5003107
2001-03-01,22.935556411743164,23.63450458898033,22.87277773302209,23.594744950073792,6006073
2001-03-02,23.29757308959961,23.642862308148462,22.709536730428827,22.925081129162393,6381138
2001-03-05,23.47963523864746,23.66797306790379,23.322683865100093,23.47963523864746,3180164
