,Close,High,Low,Open,Volume
2001-01-02,3.985713481903076,4.028265583133358,3.8864252456990847,4.021173566261644,6212000
2001-01-03,3.8084144592285156,4.063727160405846,3.801322439751367,3.996353408235456,7304000
2001-01-04,3.5814692974090576,3.822597923373232,3.5034570948912367,3.815505904962521,13245600
2001-01-05,3.595653772354126,3.6630283883278025,3.5637399020485074,3.595653772354126,7532800
2001-01-08,3.613384246826172,3.6523901386719864,3.567285902431086,3.6240220599250197,5707200
2001-01-09,3.5850138664245605,3.6275659572256695,3.567283612159639,3.6133819269586334,4166400
2001-01-10,3.53891658782959,3.6204750021766916,3.5318245706195106,3.5779228989162153,10288000
2001-01-11,3.2587835788726807,3.570832475385023,3.2339612911279128,3.567286248766097,9068800
2001-01-12,3.3119728565216064,3.3545249703098925,3.187862741070348,3.283604780662749,15563200
2001-01-16,3.290696620941162,3.315518902401044,3.1098503635922214,3.24105249088386,12756000
2001-01-17,3.3828930854797363,3.3828930854797363,3.272967006680508,3.297788856914208,7714400
2001-01-18,3.400623321533203,3.4396292095400427,3.347432962686392,3.368709019652619,5373600
2001-01-19,3.3438880443573,3.4254460676315115,3.3048817132842325,3.40062421110896,7992000
2001-01-22,3.4502670764923096,3.492819185763361,3.382892687048592,3.400622949009416,6524000
2001-01-23,3.411259889602661,3.581468283262669,3.400622081430075,3.4502661962475774,10184000
2001-01-24,3.4254462718963623,3.460906378230693,3.414808456427376,3.4467223356969607,7172000
2001-01-25,3.443174362182617,3.4821802380308085,3.4112600702501403,3.4396281373624076,5728800
2001-01-26,3.404169797897339,3.464452187833058,3.3261575733621918,3.4431761265961995,7090400
2001-01-29,3.3984951972961426,3.4881381945172407,3.3984951972961426,3.4047359914902393,7195200
2001-01-30,3.3899848461151123,3.421189684257541,3.355943243856322,3.412679391908458,6883200
2001-01-31,3.290696620941162,3.353106297869278,3.2736758196363334,3.353106297869278,12556800
2001-02-01,3.2560856342315674,3.3048787281952725,3.188569734695222,3.2992052032171646,12525600
2001-02-02,3.3088512420654297,3.3326805303459133,3.295801957514924,3.2992062033924707,5374400
2001-02-05,3.319063901901245,3.381473563911532,3.307149365478929,3.323035414042017,5484800
2001-02-06,3.3746659755706787,3.3984952696994446,3.31963184408175,3.31963184408175,5865600
2001-02-07,3.4007644653320312,3.449557584832442,3.3758006393595688,3.3758006393595688,7822400
2001-02-08,3.460904359817505,3.469982133087648,3.4007639766333178,3.4007639766333178,5095200
2001-02-09,3.5289885997772217,3.5431726373836967,3.4268635722968495,3.4495579026084666,4294400
2001-02-12,3.5017552375793457,3.597071986630395,3.452394631385286,3.543172600993122,7359200
2001-02-13,3.506293773651123,3.546009119070962,3.455798638424548,3.501754994522947,2992000
2001-02-14,3.506293773651123,3.5431723550619494,3.471117423790681,3.520477810127407,8260000
2001-02-15,3.506293773651123,3.5176410461183942,3.4728194389098443,3.506293773651123,5865600
2001-02-16,3.5800514221191406,3.591398696811706,3.528989010649491,3.528989010649491,5541600
2001-02-20,3.662318468093872,3.6821760330044513,3.571540502883964,3.571540502883964,8892000
2001-02-21,3.714399576187134,3.7659090555044705,3.674908902602088,3.674908902602088,10873600
2001-02-22,3.693796396255493,3.7315697295775023,3.6394253187096686,3.7149726403295853,8272000
2001-02-23,3.6703317165374756,3.7344324771712993,3.59306768365028,3.7258474875947867,8984000
2001-02-26,3.674910306930542,3.717262367597848,3.664035958071773,3.684639757672234,6752800
2001-02-27,3.783079147338867,3.783079147338867,3.6869282506860976,3.689217609731472,12172800
2001-02-28,3.7229835987091064,3.7722037065801413,3.6886436636173787,3.7716312578885023,7564800
2001-03-01,3.7401556968688965,3.761904395575477,3.708677983628881,3.734432515975322,6105600
2001-03-02,3.7407283782958984,3.7630490908227117,3.688646424632841,3.7401559291757716,5832800
2001-03-05,3.7332866191864014,3.7767831265758067,3.7035253913404453,3.754462424016612,3128800
2001-03-06,3.7172608375549316,3.734430809038302,3.702952673535628,3.7258458232966167,2708000
2001-03-07,3.7201225757598877,3.748738903265733,3.682921262672188,3.7086762194177516,6393600
2001-03-08,3.742443799972534,3.75389015791639,3.6800604068725598,3.722984904137867,7828000
2001-03-09,3.7527472972869873,3.764766109249094,3.7000933296480176,3.745879217601175,5672800
2001-03-12,3.7201225757598877,3.785940216353433,3.709820680391763,3.765908874429442,6135200
2001-03-13,3.691507577896118,3.768771602661486,3.691507577896118,3.760186613987409,8314400
2001-03-14,3.6611714363098145,3.674334696776766,3.6336997999186513,3.674334696776766,7020800
2001-03-15,3.700090169906616,3.7103920623125197,3.661744188545711,3.6743352205666677,5829600
2001-03-16,3.677196979522705,3.7126813721612613,3.649152890930967,3.657165643618026,6590400
2001-03-19,3.537551164627075,3.5913497920786375,3.4625762935578894,3.4625762935578894,19055200
2001-03-20,3.420797109603882,3.4505581276612207,3.388174501379081,3.433960599034474,24016800
2001-03-21,3.3904635906219482,3.525532513358978,3.3778723328982423,3.4110671691807606,9149600
2001-03-22,3.2708473205566406,3.3996208336757947,3.2187655973170175,3.38817425551125,7578400
2001-03-23,3.28114914894104,3.2937401881601307,3.196444603329076,3.2708472506456743,6686400
2001-03-26,3.4030539989471436,3.4145005749073394,3.319494365590686,3.319494365590686,6368000
2001-03-27,3.511796474456787,3.51866433335085,3.4156455766387173,3.4156455766387173,12151200
2001-03-28,3.450556993484497,3.52209781578269,3.428808522374773,3.4974877554460906,6145600
2001-03-29,3.502638339996338,3.502638339996338,3.3881730361946616,3.4454056880954997,6317600
2001-03-30,3.508361577987671,3.55300319569662,3.487757788018193,3.531254726470478,4706400
2001-04-02,3.503211259841919,3.573035178765523,3.4482679556029936,3.5055006187665287,7185600
2001-04-03,3.517519474029541,3.5484251649611425,3.4310982475266782,3.5055006669979027,9112000
2001-04-04,3.4797463417053223,3.5026394973602524,3.440255877442146,3.4911929195327875,8142400
2001-04-05,3.428236246109009,3.451129177943762,3.3538336172515955,3.451129177943762,8472000
2001-04-06,3.3652806282043457,3.471161188501532,3.286871938987449,3.433959869254493,8940000
2001-04-09,3.433960437774658,3.485469931671408,3.3452498367972114,3.3452498367972114,9444000
2001-04-10,3.5255329608917236,3.5621620590717344,3.488331850306668,3.4911934406093112,7186400
2001-04-11,3.4620046615600586,3.5198095681610204,3.393897637504828,3.5198095681610204,9365600
2001-04-12,3.4425454139709473,3.49119309933649,3.4242309758338965,3.476312700222133,2788000
2001-04-16,3.4854700565338135,3.4992057765147946,3.442545549523916,3.442545549523916,3058400
2001-04-17,3.5999364852905273,3.5999364852905273,3.488332690019363,3.499779272310708,5532800
2001-04-18,3.5140857696533203,3.614242934866115,3.4740228599031435,3.614242934866115,8575200
