,Close,High,Low,Open,Volume
2001-01-02,4.785915851593018,5.140915210189575,4.7070273043913815,5.114618629482722,600960
2001-01-03,4.943694591522217,5.0357314541506115,4.733324577124483,4.812213743277124,662605
2001-01-04,4.969987392425537,5.048875901008098,4.864802316009344,4.917394854217441,698341
2001-01-05,4.785915851593018,4.930545253102326,4.7727678599693215,4.91739726147863,638781
2001-01-08,4.733322620391846,4.8385074347429144,4.6018415277705875,4.785915176932224,469631
2001-01-09,4.77276611328125,4.851654332882453,4.707025581762355,4.733321555386216,961894
2001-01-10,4.86480188369751,4.930542401250792,4.667580032308108,4.772765099377005,531573
2001-01-11,4.969987392425537,4.983135377612769,4.838505748175711,4.891098286383808,668263
2001-01-12,4.996286392211914,5.022582975990026,4.943693822115221,5.022582975990026,346639
2001-01-16,4.79906702041626,5.075177681504828,4.73332583203966,5.048881086662232,1642963
2001-01-17,4.917398452758789,4.930546447567695,4.838509288986144,4.838509288986144,725143
2001-01-18,4.825358867645264,5.048876744267058,4.812210880262066,4.9173956755165475,1079227
2001-01-19,5.114616870880127,5.1803577025835645,4.877951011920339,4.877951011920339,1252845
2001-01-22,5.4038777351379395,5.522210549484435,5.048878097179598,5.062025789356256,2600092
2001-01-23,5.338133811950684,5.417022915731122,5.232948738549534,5.417022915731122,606321
2001-01-24,5.70505952835083,5.877137715549053,5.4006134585778955,5.4006134585778955,2137906
2001-01-25,5.678586006164551,5.718296910974493,5.59916479803366,5.705059341215518,542294
2001-01-26,5.625640392303467,5.705061022348558,5.57269310511035,5.638877364474039,283506
2001-01-29,5.769127368927002,5.9004360484661245,5.570045303517815,5.6272282707981685,897569
2001-01-30,5.769127368927002,5.930085852178352,5.733122231380567,5.781833826171713,1240337
2001-01-31,5.8750224113464355,6.078339619766082,5.83690062273315,5.839018466462262,417516
2001-02-01,6.146111965179443,6.3854331006343426,5.940676928352332,5.972445784898187,2427666
2001-02-02,5.908905982971191,6.148227009463243,5.8241898727391215,6.148227009463243,585475
2001-02-05,5.851723670959473,6.046569422572755,5.851723670959473,5.911024473430165,799295
2001-02-06,6.046569347381592,6.099516620676797,5.898317343048427,5.904670871486488,657245
2001-02-07,6.052926063537598,6.120698873702554,6.040218398480087,6.046572531753506,555397
2001-02-08,6.160938739776611,6.18423502385446,6.035982935912304,6.035982935912304,229008
2001-02-09,6.035980224609375,6.16093597234479,5.974562174503171,6.16093597234479,755519
2001-02-12,6.035980224609375,6.078337687213713,5.925849979753381,5.983032945237141,812101
2001-02-13,6.1651692390441895,6.245649048047538,6.116458266388326,6.116458266388326,725143
2001-02-14,6.014801502227783,6.184231945913853,5.99362247120863,6.184231945913853,571180
2001-02-15,6.031744003295898,6.099516779534016,5.983032414357413,6.01480126035314,912757
2001-02-16,6.035980224609375,6.035980224609375,5.9724443314474085,6.033862381553612,326091
2001-02-20,6.099517345428467,6.184232270979904,5.999976315448539,6.035980249031263,521746
2001-02-21,5.989384651184082,6.131282484431383,5.9300832651627235,6.110104062447509,377015
2001-02-22,5.803013324737549,5.961855180596288,5.718298390066533,5.921615556553098,505664
2001-02-23,5.718298435211182,5.832663778366686,5.601814045768333,5.824191803641381,298098
2001-02-26,5.777593612670898,5.794536945861812,5.644167194560887,5.728882056049571,580114
2001-02-27,5.771245002746582,5.803012648429011,5.718297723631044,5.803012648429011,767728
2001-02-28,5.866548538208008,5.983031686230717,5.7267673170072655,5.983031686230717,704595
2001-03-01,5.832661151885986,5.919495094411331,5.771243122091626,5.919495094411331,824013
2001-03-02,5.993621826171875,6.258357580208607,5.86654885671072,5.86654885671072,1106625
2001-03-05,6.1524658203125,6.288010208719554,5.993623950693407,5.993623950693407,3072403
2001-03-06,6.247772216796875,6.281658322769694,6.163056651120149,6.173646472760589,1421102
2001-03-07,6.321897506713867,6.385433418500707,6.247771173565582,6.2583603919485125,1335633
2001-03-08,6.474384307861328,6.527331594977144,6.353664830071203,6.396022298870354,429725
2001-03-09,6.406608581542969,6.480735471342831,6.353661920165299,6.480735471342831,678091
2001-03-12,6.004210948944092,6.353662812652484,5.972443308548486,6.353662812652484,596196
2001-03-13,6.065631866455078,6.088928142511489,5.832663692488673,5.940676105615881,889529
2001-03-14,5.919496059417725,5.993621756917234,5.845369760429234,5.993621756917234,528297
2001-03-15,5.777593612670898,5.9936182537840645,5.760650880968613,5.9216104410720956,753732
2001-03-16,5.714064121246338,5.824193815832288,5.697121368920512,5.813605197118009,512514
2001-03-19,5.663231372833252,5.714060196386915,5.591222920441395,5.714060196386915,639674
2001-03-20,5.788186550140381,5.970325224811088,5.716178698506275,5.728885152662532,530084
2001-03-21,5.241772174835205,5.750064669178038,5.220592543980955,5.750064669178038,848432
2001-03-22,5.027866363525391,5.284130811423717,4.828784886633392,5.262952378820736,1054808
2001-03-23,5.231182098388672,5.235417783752573,5.114698344925505,5.167645013463238,631634
2001-03-26,5.324369430541992,5.392142206555216,5.27353999890433,5.360373962153934,1094713
2001-03-27,5.570046424865723,5.570046424865722,5.30531056788011,5.40485162062406,758199
2001-03-28,5.400615215301514,5.56792846096453,5.379436178783474,5.56792846096453,790659
2001-03-29,5.500154495239258,5.561573140028894,5.326487173486785,5.400613476691976,807931
2001-03-30,5.3963775634765625,5.50650779148494,5.3370767640088195,5.500154263289608,1063444
2001-04-02,5.381550312042236,5.447205219834264,5.315896005739003,5.39637580783037,863322
2001-04-03,5.262951374053955,5.417556308496155,5.188825069627791,5.417556308496155,364507
2001-04-04,5.197298049926758,5.294720655926768,5.135879385112707,5.262953003253166,565224
2001-04-05,5.4175567626953125,5.4175567626953125,5.188825504650492,5.226947280743116,392798
2001-04-06,5.18882417678833,5.421791061282098,5.167644548894914,5.421791061282098,389820
2001-04-09,5.343430519104004,5.409085451043995,5.305308746824245,5.305308746824245,864216
2001-04-10,5.411203384399414,5.464150658805993,5.36884532427854,5.390024354338977,937177
2001-04-11,5.307427883148193,5.419675384522212,5.296838666458898,5.411204612659938,330856
2001-04-12,5.440853118896484,5.442971563217146,5.178235194371437,5.315897985873402,423174
2001-04-16,5.34131383895874,5.485330189628876,5.271423206161812,5.4641517568017575,250748
2001-04-17,5.44297456741333,5.485332048914027,5.33072582793651,5.37943744292826,241218
2001-04-18,5.654760837554932,5.750065582604659,5.4006142492665585,5.421792680507098,412453
2001-04-19,5.654760837554932,5.6971189030142115,5.548866275395834,5.6971189030142115,245387
2001-04-20,5.347665786743164,5.650523902953439,5.256596748061156,5.650523902953439,737948
2001-04-23,5.824190616607666,5.983032441346725,5.485329139844596,5.504390327230212,1486915
2001-04-24,6.061397075653076,6.226592484673262,5.720417039658551,5.866551254872029,925265
2001-04-25,6.18709659576416,6.285101919436647,6.001739648079007,6.029436725845164,705190
2001-04-26,6.5876383781433105,6.77512642045035,6.187096319884923,6.187096319884923,1513717
2001-04-27,6.42785120010376,6.5620756536113785,6.359674026462392,6.5620756536113785,808229
2001-04-30,6.555679798126221,6.579115269988182,6.412933444097173,6.451283003136166,982144
2001-05-01,6.538636684417725,6.557811770792315,6.474719931530155,6.557811770792315,509834
2001-05-02,6.625988960266113,6.6707306270885365,6.52798363487726,6.538636729640464,469631
2001-05-03,6.604685306549072,6.743170738288145,6.5514216324122465,6.647295882808509,599471
2001-05-04,6.5215935707092285,6.583378623748251,6.444893214982791,6.583378623748251,560757
2001-05-07,6.60042142868042,6.702687735202381,6.53437418693369,6.604682423938316,971424
2001-05-08,6.647292137145996,6.689903294477975,6.615334676771561,6.62598716356304,371952
2001-05-09,6.6792521476745605,6.736776803266416,6.6089445042103865,6.647294072910554,296609
2001-05-10,6.75382137298584,6.764474467932374,6.681382626665599,6.711210808449327,290057
2001-05-11,6.772995471954346,6.8134761376971325,6.7090793319304,6.77512596961627,324900
2001-05-14,6.551420211791992,6.817738524727241,6.485373560624007,6.817738524727241,552717
2001-05-15,6.54928731918335,6.625987037876191,6.496023676070239,6.604681459614342,1454455
2001-05-16,6.9775261878967285,7.11174992437575,6.572722666129099,6.572722666129099,1071187
2001-05-17,7.414290904998779,7.41429090499878,6.945571591064461,6.945571591064461,1322530
2001-05-18,7.7573041915893555,7.808437333954832,7.3098907085988785,7.371676336839255,2171855
2001-05-21,7.488861083984375,7.776484444786522,7.4313364118239456,7.765831346741349,1287389
2001-05-22,7.531467914581299,7.616689019204626,7.424940626177587,7.486726259825169,601854
2001-05-23,7.571948051452637,7.597514625149454,7.478204351286334,7.563425456831672,609299
2001-05-24,7.6060380935668945,7.72321789282938,7.371678495041923,7.571949523704142,831160
2001-05-25,7.665696620941162,7.744526889489819,7.552777767504374,7.595388952427106,822821
2001-05-29,7.733874320983887,7.765831801741645,7.665696546783747,7.665696546783747,485712
2001-05-30,7.527206897735596,7.733869998464176,7.505901317388192,7.733869998464176,970530
2001-05-31,7.648652076721191,7.674218059721888,7.510166643383846,7.510166643383846,407986
2001-06-01,7.669952392578125,7.691257970523167,7.599644166884389,7.680605484092152,345150
2001-06-04,7.744525909423828,7.765830894105633,7.637999170764753,7.669956647787462,350808
2001-06-05,7.718960762023926,7.744527353492668,7.659305583624681,7.744527353492668,482436
2001-06-06,7.646520614624023,7.733872860786235,7.6060399364736675,7.680609192746274,307032
2001-06-07,7.659297943115234,7.691255999300635,7.588990340523925,7.669950426816082,190294
2001-06-08,7.712567329406738,7.861705237968016,7.657173162643505,7.680609249363844,360040
2001-06-11,7.5378618240356445,7.723218784421818,7.535731325990968,7.691260708668452,408879
2001-06-12,7.508033752441406,7.531470441446406,7.424943117301976,7.446248098064273,500006
2001-06-13,7.650777816772461,7.691258478047547,7.497378976628428,7.508031463762371,233177
2001-06-14,7.493122577667236,7.650781891550562,7.478208482653473,7.650781891550562,184636
2001-06-15,7.297114372253418,7.448382847420742,7.275809379330966,7.40364175720001,512514
2001-06-18,7.318417549133301,7.343983532182341,7.27580697230152,7.29711195817572,244792
2001-06-19,7.135187149047852,7.339719137485395,7.094706487795629,7.318413558146491,330260
2001-06-20,7.222541809082031,7.303501948887096,7.084056404020859,7.169278145205945,442829
2001-06-21,7.354637622833252,7.412162302624266,7.243849261001159,7.243849261001159,624189
2001-06-22,6.949833869934082,7.350376101039623,6.828393022385261,7.350376101039623,1081610
2001-06-25,6.905091285705566,6.992442924467498,6.8816551997796225,6.95409335073259,376121
2001-06-26,6.922135353088379,6.945570832157775,6.851827100630466,6.924265851185597,775173
2001-06-27,6.939176082611084,6.9753957465974565,6.8177359221997005,6.945568179544746,651289
2001-06-28,7.047832489013672,7.073399661592839,6.93704423155745,6.939174728425232,222159
2001-06-29,7.201235294342041,7.216149384541689,7.060619409256577,7.073403001582444,545867
2001-07-02,7.286460876464844,7.3035048684652475,7.111756327959711,7.203369600212378,484223
2001-07-03,7.233191013336182,7.27580216710946,7.20762444208881,7.27580216710946,283506
2001-07-05,7.337591171264648,7.382332842802308,7.2608914222357726,7.265152418556833,158430
2001-07-06,7.118142604827881,7.307761112359012,7.0286598971979375,7.307761112359012,574158
2001-07-09,7.098968505859375,7.265150959506105,7.084055021730718,7.105359999057371,236155
2001-07-10,7.020143032073975,7.101103203970341,6.9881843370138075,7.101103203970341,600067
2001-07-11,6.951961040496826,7.041443759277457,6.883783298747441,7.041443759277457,294524
2001-07-12,7.0734028816223145,7.09470785999881,6.954091977298096,6.954091977298096,500006
2001-07-13,7.030792713165283,7.105361358239054,7.0094871266799545,7.105361358239054,507451
2001-07-16,7.009484767913818,7.030790347229593,6.924263660816819,7.030790347229593,317753
2001-07-17,7.030792713165283,7.030792713165283,6.960485064371928,6.988181540194625,345448
2001-07-18,7.020143032073975,7.0521011220506455,6.996706938068818,7.028665028045488,425556
2001-07-19,7.005225658416748,7.030792239459923,6.7644745441280705,6.7644745441280705,539316
2001-07-20,7.365285873413086,7.478204659780944,6.934915702665351,6.951960287527374,1167674
2001-07-23,7.495254993438721,7.669958945584788,7.448382197846362,7.542126578864021,937772
2001-07-24,7.437726974487305,7.499512025971294,7.403637793892799,7.488859535212547,915735
2001-07-25,7.495551109313965,7.581214560989887,7.435586145743317,7.437727686418756,611681
2001-07-26,7.499833106994629,7.527673739972024,7.43130259884382,7.4976915666286255,390714
2001-07-27,7.551229000091553,7.581211164334063,7.456999427932118,7.499830830470343,199824
2001-07-30,7.589778900146484,7.589778900146484,7.49340776824781,7.551230569030875,573265
2001-07-31,7.651884078979492,7.688291474812112,7.589778203574546,7.589778203574546,382971
2001-08-01,7.788943290710449,7.795367299913879,7.709703909624298,7.741827604955514,327282
2001-08-02,7.9131574630737305,7.988113186810587,7.78894631994203,7.78894631994203,421089
2001-08-03,7.827493667602539,7.902448773734974,7.769670879114469,7.902448773734974,293929
2001-08-06,7.788943290710449,7.902446689830609,7.78894329071045,7.859614690576312,256704
2001-08-07,7.859621047973633,7.859621047973633,7.763249884028416,7.795373605343488,343066
2001-08-08,7.827493667602539,7.891741075207247,7.7975108952865595,7.816785360855641,286484
2001-08-09,7.788943290710449,7.829633142604921,7.7696688302241155,7.795367299913879,382375
2001-08-10,7.696855545043945,7.838200185414196,7.6454573834149295,7.79536818131699,710253
2001-08-13,7.628326416015625,7.720414450408618,7.538379313164732,7.709706143382985,357062
2001-08-14,7.750400543212891,7.752542692447122,7.613339485394688,7.626189339702359,240920
2001-08-15,7.928147792816162,7.9881121205135805,7.816785296172623,7.902448708343102,655756
