,Close,High,Low,Open,Volume
2001-01-02,81.7743148803711,83.89703484451465,80.98077470685949,83.7978423228257,8737500
2001-01-03,85.70234680175781,86.33717900028935,81.04029784379182,81.45690647407815,19431600
2001-01-04,84.77985382080078,85.99992191720402,84.43267997223074,85.66266732145027,9219000
2001-01-05,82.01239013671875,84.82945820624319,82.01239013671875,84.73026566858388,12911400
2001-01-08,82.64720916748047,82.64720916748047,81.06012881860902,82.44882412387153,6625300
2001-01-09,82.42900085449219,83.48044177995261,82.16118099612018,83.19278341355306,5702400
2001-01-10,83.8772201538086,83.8772201538086,81.77433809697233,81.89336915679324,8746100
2001-01-11,83.95654296875,84.74016382112846,83.2225183728512,83.2225183728512,7245100
2001-01-12,83.79786682128906,84.88898487885794,83.3415810881239,84.23431404431662,7244000
2001-01-16,84.33349609375,84.55171967809045,83.49035951788917,83.79785638673253,8542200
2001-01-17,84.72034454345703,85.73210840523348,84.20454335902198,85.60315810912472,7851400
2001-01-18,85.56346893310547,86.14870480918397,84.39299718094844,84.71041324933002,8107000
2001-01-19,85.07743072509766,86.45620685553821,84.98815745046483,86.45620685553821,7782500
2001-01-22,85.64285278320312,86.1983310963673,84.78979680227245,85.22624404833002,7050900
2001-01-23,86.31735229492188,86.75379949108098,85.16671877777513,85.36510386693837,8463100
2001-01-24,86.57524108886719,87.17039627508763,86.23798648334227,86.49588706403779,6199900
2001-01-25,86.3570556640625,87.13075774788939,86.11899348442346,86.49592526885193,10818300
2001-01-26,86.25788116455078,86.41658931756744,85.35522854426857,85.8015952246279,7136800
2001-01-29,86.71812438964844,86.90856639245719,85.93727343103131,86.01980475676531,6705900
2001-01-30,87.47986602783203,87.55604278068459,86.20384729693646,86.52761787009823,7069100
2001-01-31,86.98472595214844,88.05123958481381,86.7180975439821,87.22595564328618,9706900
2001-02-01,87.56243896484375,87.57513832668968,86.4959250523819,87.03553653292323,8239100
2001-02-02,85.57539367675781,87.60051020919842,85.54365012525678,87.22595180032116,8276600
2001-02-05,86.203857421875,86.29908806089504,85.54363621714609,85.57537976348611,4352900
2001-02-06,85.94995880126953,86.78158770073391,85.84203845498834,85.8928262097278,7106700
2001-02-07,85.50557708740234,85.95630266460313,84.86439016700528,85.52462128436724,5748700
2001-02-08,84.50887298583984,85.95628986020084,84.49618331426932,85.57539629086868,5943300
2001-02-09,83.6963119506836,84.65491519630585,83.32810794937652,84.65491519630585,9913000
2001-02-12,84.65486907958984,84.75009002513495,83.60739024474549,83.60739024474549,5804400
2001-02-13,83.9629135131836,85.17544548772004,83.79786060831417,84.87707354243051,6587600
2001-02-14,83.83597564697266,84.21052448484656,82.94721405086935,84.21052448484656,8400100
2001-02-15,84.64854431152344,84.76281917311327,83.7915264400784,84.33112813244608,5929800
2001-02-16,82.7821273803711,83.34712773536202,82.08381766804332,83.16303063202047,6434900
2001-02-20,81.50613403320312,83.25192318856456,81.32203689354557,83.18843607184182,5760000
2001-02-21,79.74761962890625,81.79177516554654,79.67143802422858,81.19503621408607,10910800
2001-02-22,79.86822509765625,80.33165466259572,78.0970429542004,80.21103501349137,21281600
2001-02-23,79.32866668701172,79.69687069045838,77.32259855442429,79.40484832877611,20173000
2001-02-26,81.01727294921875,81.01727294921875,79.03659508773893,79.8618787408683,11503700
2001-02-27,80.26820373535156,81.1569651489978,79.67780945720861,80.49674376839958,11415000
2001-02-28,78.68748474121094,80.52215023918612,78.25579845678222,80.4650176402439,14825800
2001-03-01,79.10008239746094,79.10008239746094,77.29081179636668,78.75092763213244,14672000
2001-03-02,78.47158813476562,79.76664606573695,77.63995971984829,77.7669241893344,12564300
2001-03-05,79.18895721435547,79.21435108033653,78.59856314960382,78.81440858875045,5293200
2001-03-06,80.03966522216797,81.09983410242486,79.66511161068775,80.2110678285155,6917000
2001-03-07,80.61101531982422,80.6491037115953,79.83651906456849,80.56022756853841,6371700
2001-03-08,80.69984436035156,80.77602109943123,80.0777068786932,80.3697290130606,6055000
2001-03-09,78.3128890991211,80.0523277159786,78.15418107238705,80.0523277159786,10020300
2001-03-12,74.96101379394531,77.76697194582252,74.75151793159674,77.66539643314914,13972900
2001-03-13,76.19254302978516,76.45917618057534,74.6118125291541,75.79895024553394,12888000
2001-03-14,74.68802642822266,75.72915108753163,73.48184400291012,74.30712798954144,19883400
2001-03-15,74.70706176757812,75.45616404031708,74.50391563480413,75.19588048465167,10370300
2001-03-16,73.2086181640625,74.72995152185048,73.08130698691872,74.5580826468126,58514600
2001-03-19,74.69815826416016,74.91458494067443,73.08770873981929,73.68605941770485,10067800
2001-03-20,72.69303131103516,75.40469923528588,72.63574491188467,75.04823757899172,15083900
2001-03-21,71.4581527709961,73.3677773410441,71.22899743407622,72.68031133028448,19004600
2001-03-22,70.73250579833984,71.67458466616002,68.77195646438409,71.30538936500723,28624800
2001-03-23,72.87127685546875,72.98585452569851,70.97438094975963,72.08832863282761,12861700
2001-03-26,73.80058288574219,74.01063777550073,73.05582604531675,73.64780951228776,9943800
2001-03-27,75.3092041015625,75.52563068169945,73.3804846255559,73.59691120569285,12880700
2001-03-28,73.22773742675781,74.4435292109781,73.1386220020056,74.4117050486674,10953300
2001-03-29,73.50779724121094,74.15706728144029,71.38174660668525,73.01129090877075,12060300
2001-03-30,74.27802276611328,74.27802276611328,72.88399544760073,73.55236590737613,9183600
2001-04-02,72.69303131103516,74.71723330692498,72.43841861735409,74.02977223498993,10561000
2001-04-03,70.26778411865234,72.6611804394706,70.05772435280832,72.55296959879605,12836000
2001-04-04,70.56060028076172,71.35627688486689,69.57396420552605,70.38236949847008,14884300
2001-04-05,73.23407745361328,73.51415231921375,71.61089521940362,72.12013019464479,21522800
2001-04-06,72.12014770507812,72.82034232372021,71.33083281616989,72.55935800002656,14937800
2001-04-09,72.92218017578125,73.19589316808148,71.78913727718859,72.56571855099041,9034300
2001-04-10,74.2525634765625,74.9527581225581,73.31047996375725,73.48871079840056,17873600
2001-04-11,74.30349731445312,75.74207772171899,73.92793527437814,75.6084045789072,12722300
2001-04-12,75.65296173095703,75.71025299540868,73.81335705250035,74.02978370336815,9233200
