,Close,High,Low,Open,Volume
2001-01-02,9.892935752868652,10.691744229808357,9.862212349909433,10.445957006134602,628400
2001-01-03,10.445955276489258,10.553487169041352,9.785402222240672,9.831487319048712,1664400
2001-01-04,10.046550750732422,10.799273972117572,10.031189052336806,10.515082551798688,3262600
2001-01-05,10.13872241973877,10.27697772546248,9.877573508927316,10.104158593307842,865200
2001-01-08,10.399868965148926,10.445954056574992,10.031188233740396,10.161762659447584,1076200
2001-01-09,10.307698249816895,10.568847087740721,10.10799619728691,10.553485391392261,1088800
2001-01-10,10.184809684753418,10.384511835434857,10.00046923797055,10.276979908144853,672400
2001-01-11,10.077275276184082,10.292339077809961,10.077275276184082,10.215530577229291,1389200
2001-01-12,10.276978492736816,10.4613189141312,10.107999773125298,10.20016998382249,1377000
2001-01-16,10.369147300720215,10.49204089835838,10.200168603967738,10.430594099539299,545600
2001-01-17,10.430591583251953,10.599570239239835,10.384506495255259,10.476676671248649,1014200
2001-01-18,10.46131706237793,10.507402159569022,10.200168178295074,10.445955363314233,1240200
2001-01-19,10.384509086608887,10.522764385099242,10.323062287279841,10.384509086608887,749200
2001-01-22,10.445955276489258,10.445955276489258,10.307699986065135,10.384508480745202,576600
2001-01-23,10.492043495178223,10.661022233753568,10.399873274137127,10.538128605698772,720400
2001-01-24,9.831489562988281,10.384510850906372,9.785404455661775,10.077276802062988,2391800
2001-01-25,9.754680633544922,9.770042335330032,9.385999790702279,9.69323382640448,1532200
2001-01-26,9.385997772216797,9.739316837292062,9.201657390438399,9.462806264624463,1766800
2001-01-29,9.73931884765625,9.831489057570979,9.370638007997337,9.385999709649793,1219600
2001-01-30,9.61642837524414,9.739322028601894,9.570343255234983,9.739322028601894,1053000
2001-01-31,9.58570384979248,9.677874079117409,9.508895325355041,9.631788964454945,1046000
2001-02-01,9.508893966674805,9.616425885522501,9.447447155904694,9.554979074752389,1136800
2001-02-02,9.324551582336426,9.662508970823083,9.293828183383093,9.493530276579754,560800
2001-02-05,9.432086944580078,9.447448649701544,9.186299662636623,9.386001829215681,441800
2001-02-06,9.309192657470703,9.524256514243953,9.263107545305006,9.516575662216338,630600
2001-02-07,9.078763008117676,9.293826768039246,8.894422642470616,9.27846507090199,1511400
2001-02-08,9.293829917907715,9.370638429625961,9.109489489783925,9.124851192127574,882200
2001-02-09,9.278468132019043,9.33991494084036,9.07876600334976,9.240063876505719,1572200
2001-02-12,9.416719436645508,9.462804523611146,9.186294001817314,9.27846417574859,368400
2001-02-13,9.247743606567383,9.432084010685005,9.186296805194843,9.41672231034187,845200
2001-02-14,9.063401222229004,9.37063516196558,9.017316131268517,9.24774158607095,849800
2001-02-15,9.17093563079834,9.324552643039517,9.094127124677751,9.09796754998378,1450000
2001-02-16,9.140212059020996,9.20165886277912,8.90978654492803,9.140212059020996,710000
2001-02-20,8.98659610748291,9.247745054196088,8.925149296491574,9.24390462850913,1147000
2001-02-21,8.556468963623047,9.01732007476971,8.541107259918158,8.921309426614155,1377800
2001-02-22,8.541112899780273,8.66400661056848,8.23387862280976,8.541112899780273,2148600
2001-02-23,8.571826934814453,8.63327372287764,8.264592994498523,8.441252510180183,1883800
2001-02-26,9.017318725585938,9.032680426992387,8.587191086205348,8.587191086205348,1985200
2001-02-27,8.9097900390625,9.07876881566541,8.832981504242996,8.940513452990302,733200
2001-02-28,8.771530151367188,9.001955636954767,8.7100833552105,8.955870539837251,1387000
2001-03-01,8.955869674682617,8.955869674682617,8.571827235802573,8.633274026023381,1279200
2001-03-02,9.063401222229004,9.155571404149976,8.8483374644134,8.863699161400229,806400
2001-03-05,9.094125747680664,9.140210844374991,8.817615167514697,9.109487446578774,702000
2001-03-06,9.201662063598633,9.478172776695086,9.124853532182952,9.217023769881768,655800
2001-03-07,9.032684326171875,9.462812151227679,8.971237494021045,9.462812151227679,791600
2001-03-08,8.940512657165527,9.232385063499109,8.863704129183006,9.09412971313057,405800
2001-03-09,8.7561674118042,8.940507778368499,8.633273834094666,8.86369929230004,423200
2001-03-12,8.49502182006836,8.725447366724826,8.49502182006836,8.664000554283101,735600
2001-03-13,8.617914199829102,8.786892909629673,8.43357378913757,8.510382293592375,2437600
2001-03-14,8.3721284866333,8.602554041311281,8.310681672052505,8.556468930375685,1785000
2001-03-15,8.187790870666504,8.525748467579568,8.126344034864129,8.387493087024223,2198400
2001-03-16,7.880553722381592,8.264596301445023,7.865192019219054,8.11097926981965,2217200
2001-03-19,8.310680389404297,8.356765493227241,7.819105948626223,7.972722961369372,1775800
2001-03-20,7.865189552307129,8.356763899326324,7.819104457274079,8.295317105948925,1233800
2001-03-21,7.578117370605469,8.025704750946728,7.54724927540952,7.99483665575078,1165400
2001-03-22,7.192266464233398,7.670721958635191,7.053360030374813,7.655287910428681,3841200
2001-03-23,7.470080375671387,7.562684677849131,7.26943772095294,7.346607972767727,1703000
2001-03-26,7.562682628631592,7.782618257718854,7.439210259184546,7.470078351546307,579200
2001-03-27,7.963970184326172,8.033423412677854,7.500948661981627,7.500948661981627,1409200
2001-03-28,7.73245906829834,7.979403868882718,7.686156918188769,7.940818743791409,915000
2001-03-29,7.608984470367432,7.809627062892334,7.589692384403575,7.690013680666026,754200
2001-03-30,7.73245906829834,7.778761218407911,7.593552617969627,7.670722868152246,637200
2001-04-02,7.593553066253662,7.933102187102403,7.578119015305992,7.7633276266780324,1103800
2001-04-03,7.254003524780273,7.639854776098373,7.2077013746221015,7.593552625940201,828800
2001-04-04,7.053362846374512,7.254005553164158,6.868154193953298,7.223137444427289,1299800
2001-04-05,7.655290603637695,7.71702681818316,6.636643063637518,7.1459668336376065,1755600
2001-04-06,7.346607685089111,7.624420580743742,7.31573958557193,7.624420580743742,1284000
2001-04-09,7.462669372558594,7.462669372558594,7.32191095556377,7.373769592409573,1237600
2001-04-10,7.971380233764648,8.005952365412263,7.420693277614953,7.489838011920149,2003000
2001-04-11,8.403529167175293,8.438101279914044,7.959028825355295,7.991131905192458,2222400
2001-04-12,8.33438777923584,8.408471037758432,8.230671405708158,8.38624596599968,1749200
2001-04-16,8.294875144958496,8.391183457820905,8.218321924519866,8.326978229919156,1065600
2001-04-17,8.455391883850098,8.485025001402402,8.129423822695452,8.146710828455772,1489600
2001-04-18,9.267839431762695,9.275248417446635,8.440574604567143,8.52453588683336,2869200
